18-10-2015 12:26:10 infiSTAR.de | Cannon(76561198027365826) | Teleport - Me To Target - MullMit [GUER](76561198135579346) (v0015D)
18-10-2015 12:26:56 infiSTAR.de | Cannon(76561198027365826) | HealRepairNear (v0015D)
18-10-2015 12:28:13 infiSTAR.de | Cannon(76561198027365826) | spawning Hatchback (Sport, Red) (C_Hatchback_01_sport_red_F) (v0015D)
18-10-2015 12:28:22 infiSTAR.de | Cannon(76561198027365826) | Deleting Exile_Car_Hatchback_Sport_Red @030831.. (v0015D)
18-10-2015 12:31:20 infiSTAR.de | Cannon(76561198027365826) | Teleport - Me To Target - Vertex134 [GUER](76561198029138299) (v0015D)
18-10-2015 12:32:31 infiSTAR.de | Cannon(76561198027365826) | Spawning Code Lock (Exile_Item_Codelock) on the ground infront of Cannon! (v0015D)
18-10-2015 12:32:31 infiSTAR.de | Cannon(76561198027365826) | spawning Code Lock (Exile_Item_Codelock) (v0015D)
18-10-2015 12:33:04 infiSTAR.de | Cannon(76561198027365826) | Teleport to [8207.61,4263.77,0](GPS: 082817) (v0015D)
18-10-2015 12:34:37 infiSTAR.de | Ford(76561198068372718) | Teleport to [8210.2,4276.56,0](GPS: 082817) (v0015D)
18-10-2015 12:37:07 infiSTAR.de | Ford(76561198068372718) | Teleport to [8946.05,9770.96,0](GPS: 089872) (v0015D)
18-10-2015 12:37:14 infiSTAR.de | Ford(76561198068372718) | Teleport to [9053.09,9797.68,0](GPS: 090872) (v0015D)
18-10-2015 12:37:50 infiSTAR.de | Ford(76561198068372718) | Teleport to [7602.08,9405.8,0](GPS: 076868) (v0015D)
18-10-2015 12:37:54 infiSTAR.de | Ford(76561198068372718) | Teleport to [8211.14,4261.81,0](GPS: 082817) (v0015D)
18-10-2015 12:38:20 infiSTAR.de | Ford(76561198068372718) | Teleport to [6615.89,3862.64,0](GPS: 066813) (v0015D)
18-10-2015 12:38:27 infiSTAR.de | Ford(76561198068372718) | Teleport to [8216.77,4245.39,0](GPS: 082817) (v0015D)
18-10-2015 12:39:39 infiSTAR.de | Optima(76561198052079567) | Teleport to [8191.48,4269.64,0](GPS: 081817) (v0015D)
18-10-2015 12:40:30 infiSTAR.de | Cannon(76561198027365826) | clear ingame AdminLog (v0015D)
18-10-2015 12:41:48 infiSTAR.de | Ford(76561198068372718) | Teleport - Me To Target - [L.N.S] Wyatt [GUER (R Roman Beck's Party)](76561198076914939) (v0015D)
18-10-2015 12:41:52 infiSTAR.de | Cannon(76561198027365826) | Teleport - Me To Target - [L.N.S] Wyatt [GUER (R Roman Beck's Party)](76561198076914939) (v0015D)
18-10-2015 12:43:00 infiSTAR.de | Optima(76561198052079567) | Teleport to [3200.97,9391.94,0](GPS: 032868) (v0015D)
18-10-2015 12:46:40 infiSTAR.de | Cannon(76561198027365826) | Teleport to [3187.11,9343.14,0](GPS: 031868) (v0015D)
18-10-2015 12:46:48 infiSTAR.de | Cannon(76561198027365826) | Teleport to [3184.75,9343.22,0](GPS: 031868) (v0015D)
18-10-2015 12:46:55 infiSTAR.de | Cannon(76561198027365826) | Teleport to [3179.14,9338.95,0](GPS: 031868) (v0015D)
18-10-2015 12:47:20 infiSTAR.de | Cannon(76561198027365826) | HealRepairNear (v0015D)
18-10-2015 12:47:27 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 0 (v0015D)
18-10-2015 12:47:43 infiSTAR.de | Ford(76561198068372718) | noRecoil - 1 (v0015D)
18-10-2015 12:47:44 infiSTAR.de | Ford(76561198068372718) | FastFire - 1 (v0015D)
18-10-2015 12:47:45 infiSTAR.de | Ford(76561198068372718) | UnlimAmmo - 1 (v0015D)
18-10-2015 12:47:46 infiSTAR.de | Cannon(76561198027365826) | Killing Ford(76561198068372718) @031868 (v0015D)
18-10-2015 12:47:46 infiSTAR.de | Cannon(76561198027365826) | Kill - R Admin:2 (Ford) REMOTE(76561198068372718) (v0015D)
18-10-2015 12:47:53 infiSTAR.de | Cannon(76561198027365826) | Killing Optima(76561198052079567) @031868 (v0015D)
18-10-2015 12:47:53 infiSTAR.de | Cannon(76561198027365826) | Kill - R Bravo 1-2:1 (Optima) REMOTE(76561198052079567) (v0015D)
18-10-2015 12:47:58 infiSTAR.de | Cannon(76561198027365826) | Deleting Optima(76561198052079567) vehicle: Exile_Unit_Player @031868.. (v0015D)
18-10-2015 12:48:06 infiSTAR.de | Ford(76561198068372718) | Teleport to [3186.51,9350.15,0](GPS: 031868) (v0015D)
18-10-2015 12:48:13 infiSTAR.de | Cannon(76561198027365826) | Deleting Exile_Unit_Player @031868.. (v0015D)
18-10-2015 12:48:46 infiSTAR.de | Ford(76561198068372718) | Deleting Exile_Unit_Player @031868.. (v0015D)
18-10-2015 12:48:49 infiSTAR.de | Optima(76561198052079567) | Teleport to [3188.21,9372.47,0](GPS: 031868) (v0015D)
18-10-2015 12:49:54 infiSTAR.de | Cannon(76561198027365826) | Spawning Code Lock (Exile_Item_Codelock) on the ground infront of Cannon! (v0015D)
18-10-2015 12:49:54 infiSTAR.de | Cannon(76561198027365826) | spawning Code Lock (Exile_Item_Codelock) (v0015D)
18-10-2015 12:49:56 infiSTAR.de | Cannon(76561198027365826) | Spawning Code Lock (Exile_Item_Codelock) on the ground infront of Cannon! (v0015D)
