18-10-2015 15:05:09 infiSTAR.de | 0h 59min 21s | Bryce Robert(76561198101308155) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.79081|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:06:35 infiSTAR.de | 1h 0min 14s | Bryce Robert(76561198101308155) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.98385|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:08:45 infiSTAR.de | 1h 1min 36s | MultaiGamer(76561198079792805) | BadMoney on Client: added 2000 POP TABS! (6189 should be 4189) [FPS: 6.21118|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:12:58 infiSTAR.de | 1h 4min 10s | MultaiGamer(76561198079792805) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.92812|SERVERTHREADS: 45] (v0015D)
18-10-2015 15:13:31 infiSTAR.de | 1h 4min 31s | Pandaz(76561198228523912) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.62786|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:14:40 infiSTAR.de | 1h 5min 14s | SniperMan(76561198094861860) | Too many Threads running on Client! 52 (KICKED) [FPS: 4.65116|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:14:50 infiSTAR.de | 1h 5min 20s | hobo(76561198027257409) | Too many Threads running on Client! 51 (KICKED) [FPS: 7.02062|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:15:05 infiSTAR.de | 1h 5min 28s | Grill Vogel(76561198101264377) | Too many Threads running on Client! 52 (KICKED) [FPS: 5.37815|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:15:09 infiSTAR.de | 1h 5min 30s | [GB] Scattman(76561198081782021) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.67577|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:15:20 infiSTAR.de | 1h 5min 37s | Condor(76561198130693315) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.80851|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:15:21 infiSTAR.de | 1h 5min 37s | Right Shark(76561198071102879) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.93912|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:15:25 infiSTAR.de | 1h 5min 40s | MultaiGamer(76561198079792805) | Too many Threads running on Client! 51 (KICKED) [FPS: 7.89733|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:16:31 infiSTAR.de | 1h 6min 27s | Bogus(76561198063285748) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.61978|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:18:04 infiSTAR.de | 1h 7min 33s | [GB] Nick(76561198117888285) | BadMoney on Client: added 1000 POP TABS! (37705 should be 36705) [FPS: 6.73401|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:18:52 infiSTAR.de | 1h 8min 3s | [GB] Scattman(76561198081782021) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.53595|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:20:43 infiSTAR.de | 1h 9min 18s | Joseph(76561198059132304) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.09756|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:22:09 infiSTAR.de | 1h 10min 9s | MultaiGamer(76561198079792805) | Too many Threads running on Client! 54 (KICKED) [FPS: 6.15621|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:22:59 infiSTAR.de | 1h 10min 39s | Samuel L. Jackson(76561198118408432) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.85223|SERVERTHREADS: 44] (v0015D)
