20-01-2016 03:01:22 infiSTAR.de | 0h 28min 23s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.260986s (from [10379.3,1292.96,7.73243] to [580.576,496.096,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 135608. Player FPS: 54.7945. Alive for 7.27808s -  [FPS: 48.6322|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:22 infiSTAR.de | 0h 28min 23s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.256958s (from [10379.3,1292.96,7.73243] to [580.576,496.096,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 137734. Player FPS: 50.9554. Alive for 7.53503s -  [FPS: 46.9208|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:02:24 infiSTAR.de | 0h 29min 26s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.225098s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00126743]). TopSpeed of Exile_Unit_Player is 24 speed was 157229. Player FPS: 36.4465. Alive for 0.571045s -  [FPS: 32.3887|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:25 infiSTAR.de | 0h 29min 26s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.257935s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 137212. Player FPS: 47.619. Alive for 0.828979s -  [FPS: 37.3832|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:25 infiSTAR.de | 0h 29min 26s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.252075s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 140402. Player FPS: 54.7945. Alive for 1.08105s -  [FPS: 38.1862|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:25 infiSTAR.de | 0h 29min 26s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.260986s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 135608. Player FPS: 53.6913. Alive for 1.34302s -  [FPS: 46.6472|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:25 infiSTAR.de | 0h 29min 27s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.259033s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 136630. Player FPS: 57.7617. Alive for 1.60205s -  [FPS: 44.6927|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:26 infiSTAR.de | 0h 29min 27s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.26001s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00125456]). TopSpeed of Exile_Unit_Player is 24 speed was 136117. Player FPS: 54.2373. Alive for 1.86206s -  [FPS: 44.1989|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:26 infiSTAR.de | 0h 29min 27s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.256958s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00128126]). TopSpeed of Exile_Unit_Player is 24 speed was 137734. Player FPS: 54.0541. Alive for 2.12097s -  [FPS: 41.3437|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:26 infiSTAR.de | 0h 29min 27s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.262085s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00127554]). TopSpeed of Exile_Unit_Player is 24 speed was 135039. Player FPS: 61.0687. Alive for 2.38306s -  [FPS: 43.0108|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:26 infiSTAR.de | 0h 29min 28s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.247925s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00127602]). TopSpeed of Exile_Unit_Player is 24 speed was 142752. Player FPS: 57.1429. Alive for 2.63196s -  [FPS: 42.2164|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:27 infiSTAR.de | 0h 29min 28s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.251099s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00127602]). TopSpeed of Exile_Unit_Player is 24 speed was 140948. Player FPS: 52.9801. Alive for 2.88306s -  [FPS: 46.5116|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:27 infiSTAR.de | 0h 29min 28s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.250977s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00128078]). TopSpeed of Exile_Unit_Player is 24 speed was 141016. Player FPS: 56.5371. Alive for 3.13403s -  [FPS: 44.3213|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:27 infiSTAR.de | 0h 29min 28s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.254028s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.0013051]). TopSpeed of Exile_Unit_Player is 24 speed was 139322. Player FPS: 55.3633. Alive for 3.38904s -  [FPS: 44.9438|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:27 infiSTAR.de | 0h 29min 29s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.260986s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.0013051]). TopSpeed of Exile_Unit_Player is 24 speed was 135608. Player FPS: 57.554. Alive for 3.65198s -  [FPS: 45.3258|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:28 infiSTAR.de | 0h 29min 29s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.25s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.0013051]). TopSpeed of Exile_Unit_Player is 24 speed was 141567. Player FPS: 59.7015. Alive for 3.90198s -  [FPS: 45.8453|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:28 infiSTAR.de | 0h 29min 29s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.255005s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00130224]). TopSpeed of Exile_Unit_Player is 24 speed was 138789. Player FPS: 56.338. Alive for 4.15698s -  [FPS: 40.8163|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:28 infiSTAR.de | 0h 29min 29s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.263062s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00130224]). TopSpeed of Exile_Unit_Player is 24 speed was 134538. Player FPS: 53.6913. Alive for 4.42004s -  [FPS: 45.1977|SERVERTHREADS: 36] (v0027A)
