27-01-2016 13:52:01 infiSTAR.de | 0h 37min 29s | bambam(76561198112160451) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @180299 [18001.5,19704.6,1.22876] [FPS: 11.5691|SERVERTHREADS: 37] (v0029)
27-01-2016 13:52:07 infiSTAR.de | 0h 37min 35s | SSF Frank(76561198091891913) | WALL LOOK CHECK (looked through Exile_Construction_WoodWall_Static) - @179299 [17998.9,19705.8,2.12569] [FPS: 12.1304|SERVERTHREADS: 37] (v0029)
27-01-2016 13:52:15 infiSTAR.de | 0h 37min 43s | bambam(76561198112160451) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @179299 [17999,19699.2,0.0700073] [FPS: 12.2982|SERVERTHREADS: 37] (v0029)
27-01-2016 13:52:32 infiSTAR.de | 0h 37min 59s | bambam(76561198112160451) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @179299 [17999,19699.2,0.0700073] [FPS: 12.5984|SERVERTHREADS: 37] (v0029)
27-01-2016 13:52:35 infiSTAR.de | 0h 38min 2s | Evolve^(76561198063671459) | WALL LOOK CHECK (looked through Exile_Construction_WoodFloor_Static) - @204307 [20465,20471,1.27023] [FPS: 11.9492|SERVERTHREADS: 37] (v0029)
27-01-2016 13:52:35 infiSTAR.de | 0h 38min 2s | Evolve^(76561198063671459) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @204307 [20465,20471,1.27023] [FPS: 11.9492|SERVERTHREADS: 37] (v0029)
27-01-2016 13:52:43 infiSTAR.de | 0h 38min 11s | bambam(76561198112160451) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @180299 [18007,19702.1,0.337143] [FPS: 12.112|SERVERTHREADS: 37] (v0029)
27-01-2016 13:52:53 infiSTAR.de | 0h 38min 20s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 11.5191|SERVERTHREADS: 37] (v0029)
27-01-2016 13:52:53 infiSTAR.de | 0h 38min 21s | bambam(76561198112160451) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @180299 [18007,19702.1,0.337143] [FPS: 11.7647|SERVERTHREADS: 37] (v0029)
27-01-2016 13:53:06 infiSTAR.de | 0h 38min 33s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18008.2,19704.7,1.7007] [FPS: 12.0755|SERVERTHREADS: 37] (v0029)
27-01-2016 13:53:14 infiSTAR.de | 0h 38min 41s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 11.3234|SERVERTHREADS: 37] (v0029)
