26-01-2016 18:15:03 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [10695.8,20194,0](GPS: 106304) (v0029)
26-01-2016 18:15:27 infiSTAR.de | De Gone(76561198057838365) | Mass Message: Ready for an event? (v0029)
26-01-2016 18:16:14 infiSTAR.de | De Gone(76561198057838365) | Mass Message: After restart come back and see! (v0029)
26-01-2016 18:16:56 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_B_C130J_USMC @047192.. (v0029)
26-01-2016 18:17:00 infiSTAR.de | De Gone(76561198057838365) | Deleting Exile_Car_HEMMT @047192.. (v0029)
26-01-2016 18:17:06 infiSTAR.de | De Gone(76561198057838365) | Teleport to [1456.77,1245.42,0](GPS: 014114) (v0029)
26-01-2016 18:17:59 infiSTAR.de | Falcon911(76561197974470549) | Stealth / Invisible - 1 (v0029)
26-01-2016 18:18:03 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [7038.59,6017.75,0](GPS: 070162) (v0029)
26-01-2016 18:18:50 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [1022.39,972.71,0](GPS: 010112) (v0029)
26-01-2016 18:19:59 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [632.811,1380.48,0](GPS: 006116) (v0029)
26-01-2016 18:21:31 infiSTAR.de | De Gone(76561198057838365) | Teleport to [691.518,1370.12,0](GPS: 006116) (v0029)
26-01-2016 18:21:33 infiSTAR.de | De Gone(76561198057838365) | Teleport to [691.774,1379.56,0](GPS: 006116) (v0029)
26-01-2016 18:21:34 infiSTAR.de | De Gone(76561198057838365) | Teleport to [645.807,1390.29,0](GPS: 006116) (v0029)
26-01-2016 18:21:44 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0029)
26-01-2016 18:21:44 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0029)
26-01-2016 18:22:07 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [785.69,1363.39,0](GPS: 007116) (v0029)
26-01-2016 18:23:25 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
26-01-2016 18:23:26 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
26-01-2016 18:23:30 infiSTAR.de | De Gone(76561198057838365) | Teleport to [793.457,1348.9,0](GPS: 007115) (v0029)
26-01-2016 18:25:31 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR AI ESP - 1 (v0029)
26-01-2016 18:25:56 infiSTAR.de | De Gone(76561198057838365) | Teleport to [771.007,1401.99,0](GPS: 007116) (v0029)
26-01-2016 18:26:30 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [1476.17,1205.94,0](GPS: 014114) (v0029)
26-01-2016 18:26:40 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [2065.9,1065.85,0](GPS: 020113) (v0029)
26-01-2016 18:27:37 infiSTAR.de | Falcon911(76561197974470549) | Self Disconnect (v0029)
26-01-2016 18:28:35 infiSTAR.de | De Gone(76561198057838365) | Teleport to [2950.17,3303.09,0](GPS: 029135) (v0029)
26-01-2016 18:28:53 infiSTAR.de | De Gone(76561198057838365) | Teleport to [3226.69,3335.98,0](GPS: 032135) (v0029)
26-01-2016 18:31:25 infiSTAR.de | DevilDogGamer(76561198061701771) | infiSTAR MapIcons - 1 (v0029)
26-01-2016 18:31:26 infiSTAR.de | DevilDogGamer(76561198061701771) | Disable Announces - 1 (v0029)
26-01-2016 18:31:32 infiSTAR.de | DevilDogGamer(76561198061701771) | Heal - R Alpha 1-3:1 (DevilDogGamer)(76561198061701771) (v0029)
26-01-2016 18:31:48 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning M47 Dragon (CUP_launch_M47) on De Gone! (v0029)
26-01-2016 18:31:57 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning M47 Dragon (CUP_launch_M47) on DevilDogGamer! (v0029)
26-01-2016 18:32:03 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [13110.3,15096.8,0](GPS: 131253) (v0029)
26-01-2016 18:32:09 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [10116.5,19967.4,0](GPS: 101302) (v0029)
26-01-2016 18:32:23 infiSTAR.de | DevilDogGamer(76561198061701771) |  (v0029)
26-01-2016 18:32:29 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning M47 Dragon Missile (CUP_Dragon_EP1_M) on DevilDogGamer! (v0029)
26-01-2016 18:32:30 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning M47 Dragon Missile (CUP_Dragon_EP1_M) on DevilDogGamer! (v0029)
26-01-2016 18:32:31 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning M47 Dragon Missile (CUP_Dragon_EP1_M) on DevilDogGamer! (v0029)
26-01-2016 18:32:47 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [7342.11,19033.6,0](GPS: 073292) (v0029)
26-01-2016 18:32:51 infiSTAR.de | De Gone(76561198057838365) | Teleport to [7362.24,19000.8,0](GPS: 073292) (v0029)
26-01-2016 18:33:12 infiSTAR.de | DevilDogGamer(76561198061701771) |  (v0029)
26-01-2016 18:33:14 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning M47 Dragon Missile (CUP_Dragon_EP1_M) on DevilDogGamer! (v0029)
26-01-2016 18:33:34 infiSTAR.de | DevilDogGamer(76561198061701771) |  (v0029)
26-01-2016 18:33:36 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning M47 Dragon Missile (CUP_Dragon_EP1_M) on DevilDogGamer! (v0029)
26-01-2016 18:33:51 infiSTAR.de | De Gone(76561198057838365) |  (v0029)
26-01-2016 18:33:54 infiSTAR.de | De Gone(76561198057838365) | Spawning M47 Dragon Missile (CUP_Dragon_EP1_M) on De Gone! (v0029)
26-01-2016 18:34:03 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0029)
26-01-2016 18:34:22 infiSTAR.de | De Gone(76561198057838365) |  (v0029)
26-01-2016 18:34:24 infiSTAR.de | De Gone(76561198057838365) | Spawning M47 Dragon Missile (CUP_Dragon_EP1_M) on De Gone! (v0029)
26-01-2016 18:35:45 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning RRA LAR-15 (hlc_rifle_SAMR) on DevilDogGamer! (v0029)
26-01-2016 18:35:52 infiSTAR.de | DevilDogGamer(76561198061701771) |  (v0029)
26-01-2016 18:36:04 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning STANAG Mag (SPR) 5.56mm (hlc_30rnd_556x45_SPR) on DevilDogGamer! (v0029)
26-01-2016 18:36:05 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning STANAG Mag (SPR) 5.56mm (hlc_30rnd_556x45_SPR) on DevilDogGamer! (v0029)
26-01-2016 18:49:54 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @073292.. (v0029)
26-01-2016 18:49:58 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0029)
26-01-2016 18:49:58 infiSTAR.de | De Gone(76561198057838365) | infiSTAR MapIcons - 1 (v0029)
26-01-2016 18:49:59 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
26-01-2016 18:50:00 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
26-01-2016 18:50:08 infiSTAR.de | De Gone(76561198057838365) | Teleport to [4773.04,8992.13,0](GPS: 047192) (v0029)
26-01-2016 18:50:50 infiSTAR.de | De Gone(76561198057838365) | spawning C-130J (CUP_B_C130J_USMC) (v0029)
26-01-2016 18:51:08 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_B_C130J_USMC @047192.. (v0029)
26-01-2016 18:51:17 infiSTAR.de | De Gone(76561198057838365) | spawning C-130J (CUP_B_C130J_USMC) (v0029)
26-01-2016 18:51:31 infiSTAR.de | DevilDogGamer(76561198061701771) | infiSTAR MapIcons - 1 (v0029)
26-01-2016 18:51:38 infiSTAR.de | DevilDogGamer(76561198061701771) | Disable Announces - 1 (v0029)
26-01-2016 18:52:25 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning RRA LAR-15 (hlc_rifle_SAMR) on the ground infront of DevilDogGamer! (v0029)
26-01-2016 18:52:45 infiSTAR.de | DevilDogGamer(76561198061701771) |  (v0029)
26-01-2016 18:52:48 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning STANAG Mag (EPR) 5.56mm (hlc_30rnd_556x45_EPR) on DevilDogGamer! (v0029)
26-01-2016 18:52:54 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning STANAG Mag (EPR) 5.56mm (hlc_30rnd_556x45_EPR) on DevilDogGamer! (v0029)
26-01-2016 18:52:56 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning STANAG Mag (EPR) 5.56mm (hlc_30rnd_556x45_EPR) on DevilDogGamer! (v0029)
26-01-2016 18:52:57 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning STANAG Mag (EPR) 5.56mm (hlc_30rnd_556x45_EPR) on DevilDogGamer! (v0029)
26-01-2016 18:53:10 infiSTAR.de | 7=Temp(76561198133523234) | Deleting GroundWeaponHolder @203195.. (v0029)
26-01-2016 18:53:26 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning Trijicon ACOG TA31F (CUP_optic_ACOG) on DevilDogGamer! (v0029)
26-01-2016 18:53:44 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning Gemtech Halo 5.56mm Suppressor (hlc_muzzle_556NATO_KAC) on DevilDogGamer! (v0029)
26-01-2016 18:53:48 infiSTAR.de | 7=Temp(76561198133523234) | infiSTAR Player ESP - 1 (v0029)
26-01-2016 18:53:48 infiSTAR.de | 7=Temp(76561198133523234) | infiSTAR MapIcons - 1 (v0029)
26-01-2016 18:53:48 infiSTAR.de | 7=Temp(76561198133523234) | UnlimAmmo - 1 (v0029)
26-01-2016 18:53:48 infiSTAR.de | 7=Temp(76561198133523234) | God Mode - 1 (v0029)
26-01-2016 18:53:48 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 1 (v0029)
26-01-2016 18:53:48 infiSTAR.de | 7=Temp(76561198133523234) | Teleport In Facing Direction (10m steps) - 1 (v0029)
26-01-2016 18:53:48 infiSTAR.de | 7=Temp(76561198133523234) | Lower Terrain - 1 (v0029)
26-01-2016 18:53:57 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [19292.6,13108.6,0](GPS: 192233) (v0029)
26-01-2016 18:54:03 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 0 (v0029)
26-01-2016 18:54:13 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning NV Goggles (Black) (NVGoggles_OPFOR) on DevilDogGamer! (v0029)
26-01-2016 18:54:16 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning Rangefinder (Rangefinder) on DevilDogGamer! (v0029)
26-01-2016 18:54:26 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning Cheathas (Exile_Item_Cheathas) on DevilDogGamer! (v0029)
26-01-2016 18:54:28 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning Duct Tape (Exile_Item_DuctTape) on DevilDogGamer! (v0029)
26-01-2016 18:54:29 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning EMRE (Exile_Item_EMRE) on DevilDogGamer! (v0029)
26-01-2016 18:54:35 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on DevilDogGamer! (v0029)
26-01-2016 18:54:36 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on DevilDogGamer! (v0029)
26-01-2016 18:54:36 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on DevilDogGamer! (v0029)
26-01-2016 18:54:58 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [9146.85,15667.4,0](GPS: 091259) (v0029)
26-01-2016 18:55:19 infiSTAR.de | 7=Temp(76561198133523234) | God Mode - 0 (v0029)
26-01-2016 18:55:52 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [9054.68,15851.6,0](GPS: 090260) (v0029)
26-01-2016 18:57:10 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR MapIcons - 1 (v0029)
26-01-2016 18:57:21 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [8976.71,16000.8,0](GPS: 089262) (v0029)
26-01-2016 18:57:28 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [8976.91,16000.4,0](GPS: 089262) (v0029)
26-01-2016 18:57:41 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [8918.39,15869.2,0](GPS: 089261) (v0029)
26-01-2016 18:58:11 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [8850.19,15701.6,0](GPS: 088259) (v0029)
26-01-2016 18:59:05 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [9010.75,15664.7,0](GPS: 090259) (v0029)
26-01-2016 18:59:06 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [9006.28,15658.7,0](GPS: 090258) (v0029)
26-01-2016 18:59:18 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [20391.8,9255.5,0](GPS: 203194) (v0029)
26-01-2016 18:59:41 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [11471.3,11237,0](GPS: 114214) (v0029)
26-01-2016 19:01:05 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [11628.4,11444.8,0](GPS: 116216) (v0029)
26-01-2016 19:01:32 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [9252.21,15626.4,0](GPS: 092258) (v0029)
26-01-2016 19:01:45 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [9656.64,12460.2,0](GPS: 096227) (v0029)
26-01-2016 19:03:09 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning PB 6P9 (CUP_hgun_PB6P9_snds) on DevilDogGamer! (v0029)
26-01-2016 19:03:14 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [9529.33,11880.2,0](GPS: 095221) (v0029)
26-01-2016 19:03:17 infiSTAR.de | DevilDogGamer(76561198061701771) |  (v0029)
26-01-2016 19:03:21 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning MakarovSD Mag. (CUP_8Rnd_9x18_MakarovSD_M) on DevilDogGamer! (v0029)
26-01-2016 19:03:22 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning MakarovSD Mag. (CUP_8Rnd_9x18_MakarovSD_M) on DevilDogGamer! (v0029)
26-01-2016 19:03:22 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning MakarovSD Mag. (CUP_8Rnd_9x18_MakarovSD_M) on DevilDogGamer! (v0029)
26-01-2016 19:03:23 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning MakarovSD Mag. (CUP_8Rnd_9x18_MakarovSD_M) on DevilDogGamer! (v0029)
26-01-2016 19:03:23 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [9542.46,11904.3,0](GPS: 095221) (v0029)
26-01-2016 19:03:23 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning MakarovSD Mag. (CUP_8Rnd_9x18_MakarovSD_M) on DevilDogGamer! (v0029)
26-01-2016 19:03:30 infiSTAR.de | DevilDogGamer(76561198061701771) | Deleting GroundWeaponHolder @073292.. (v0029)
26-01-2016 19:03:33 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Target To Me - Dabomb529 [GUER](76561198052785532) (v0029)
26-01-2016 19:03:34 infiSTAR.de | DevilDogGamer(76561198061701771) | Deleting GroundWeaponHolder @073292.. (v0029)
26-01-2016 19:03:34 infiSTAR.de | Falcon911(76561197974470549) | Teleported Dabomb529(76561198052785532) from [9248.02,15628.3,0.00143433](092258) to [9248.02,15628.3,0.00143433](092258)  (0m) (v0029)
26-01-2016 19:04:30 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [14898.5,6087.03,0](GPS: 148163) (v0029)
26-01-2016 19:04:45 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [14791.2,6194.37,0](GPS: 147164) (v0029)
26-01-2016 19:05:20 infiSTAR.de | Falcon911(76561197974470549) | spawning Hatchback (Exile_Car_Hatchback_Green) (v0029)
26-01-2016 19:05:34 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Car_Hatchback_Green @095221.. (v0029)
26-01-2016 19:05:40 infiSTAR.de | 7=Temp(76561198133523234) | Deleting GroundWeaponHolder @098203.. (v0029)
26-01-2016 19:05:43 infiSTAR.de | 7=Temp(76561198133523234) | God Mode - 1 (v0029)
26-01-2016 19:05:43 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 1 (v0029)
26-01-2016 19:05:45 infiSTAR.de | Falcon911(76561197974470549) | spawning Offroad (Armed) (Exile_Car_Offroad_Armed_Guerilla12) (v0029)
