15-01-2016 21:23:13 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0027C)
15-01-2016 21:23:16 infiSTAR.de | Double A.(76561198069335401) | Teleport In Facing Direction (10m steps) - 1 (v0027C)
15-01-2016 21:27:28 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Me To Target - Archangel [GUER](76561198007097252) (v0027C)
15-01-2016 21:27:47 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Me To Target - Bakey [GUER (R dj3hac's Party)](76561197963192716) (v0027C)
15-01-2016 21:28:22 infiSTAR.de | Falcon911(76561197974470549) | Spawning Safe Kit (Exile_Item_SafeKit) on the ground infront of Falcon911! (v0027C)
15-01-2016 21:28:29 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [19488.1,17671,0](GPS: 194279) (v0027C)
15-01-2016 21:28:48 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [18491.8,16815.8,0](GPS: 184270) (v0027C)
15-01-2016 21:29:02 infiSTAR.de | Falcon911(76561197974470549) | spawning T-72 (CUP_B_T72_CDF) (v0027C)
15-01-2016 21:29:41 infiSTAR.de | Falcon911(76561197974470549) | Vehboost - 1 (v0027C)
15-01-2016 21:30:46 infiSTAR.de | Falcon911(76561197974470549) | Deleting CUP_B_T72_CDF @183275.. (v0027C)
15-01-2016 21:31:52 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [2373.6,3887.04,0](GPS: 023141) (v0027C)
15-01-2016 21:33:43 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [2356.76,3955.37,0](GPS: 023141) (v0027C)
15-01-2016 21:40:29 infiSTAR.de | Falcon911(76561197974470549) |  (v0027C)
15-01-2016 21:40:31 infiSTAR.de | Falcon911(76561197974470549) | Spawning 9.3mm 150Rnd Belt (150Rnd_93x64_Mag) on Falcon911! (v0027C)
15-01-2016 21:42:10 infiSTAR.de | Falcon911(76561197974470549) | Stealth / Invisible - 1 (v0027C)
15-01-2016 21:42:24 infiSTAR.de | Falcon911(76561197974470549) | Teleport In Facing Direction (10m steps) - 1 (v0027C)
15-01-2016 21:43:54 infiSTAR.de | Falcon911(76561197974470549) | Vehboost - 0 (v0027C)
