25-01-2016 20:02:46 infiSTAR.de | 1h 28min 28s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 112m in 0.259766s (from [5183.91,13311.7,450.261] to [5266.65,13235.9,393.529]). TopSpeed of Steerable_Parachute_F is 300 speed was 1555.4. Player FPS: 29.8507. Alive for 5054.94s -  [FPS: 9.79792|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:46 infiSTAR.de | 1h 28min 28s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 112m in 0.256836s (from [5195.74,13300.6,441.713] to [5278.13,13224.9,385.64]). TopSpeed of Steerable_Parachute_F is 300 speed was 1568.4. Player FPS: 30.3605. Alive for 5055.23s -  [FPS: 9.76205|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:46 infiSTAR.de | 1h 28min 29s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 103m in 0.242188s (from [5208.2,13288.9,433.146] to [5284.2,13219.1,382.598]). TopSpeed of Steerable_Parachute_F is 300 speed was 1534.31. Player FPS: 31.3725. Alive for 5055.52s -  [FPS: 9.78593|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:47 infiSTAR.de | 1h 28min 29s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 163m in 0.268555s (from [5220.01,13277.2,426.306] to [5383.08,13287.2,393.211]). TopSpeed of Steerable_Parachute_F is 300 speed was 2189.97. Player FPS: 30.888. Alive for 5055.83s -  [FPS: 9.81595|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:47 infiSTAR.de | 1h 28min 29s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 148m in 0.25293s (from [5244.17,13281.5,419.772] to [5390.7,13302.8,387.843]). TopSpeed of Steerable_Parachute_F is 300 speed was 2107.3. Player FPS: 30.3605. Alive for 5056.12s -  [FPS: 9.79192|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:48 infiSTAR.de | 1h 28min 30s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 109m in 0.261719s (from [5418.06,13149.4,338.576] to [5504.04,13082.1,333.159]). TopSpeed of Steerable_Parachute_F is 300 speed was 1501.67. Player FPS: 30.4183. Alive for 5056.93s -  [FPS: 9.79792|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:48 infiSTAR.de | 1h 28min 30s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 104m in 0.246094s (from [5431.19,13138.9,338.677] to [5514.55,13076.8,337.359]). TopSpeed of Steerable_Parachute_F is 300 speed was 1520.59. Player FPS: 29.1971. Alive for 5057.21s -  [FPS: 9.83405|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:48 infiSTAR.de | 1h 28min 31s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 111m in 0.263672s (from [5444.06,13129.4,338.078] to [5527.13,13055.1,330.333]). TopSpeed of Steerable_Parachute_F is 300 speed was 1521.72. Player FPS: 29.304. Alive for 5057.52s -  [FPS: 9.89487|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:49 infiSTAR.de | 1h 28min 31s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 108m in 0.25293s (from [5456.14,13117.6,337.068] to [5535.92,13044.9,321.125]). TopSpeed of Steerable_Parachute_F is 300 speed was 1536.15. Player FPS: 30.3605. Alive for 5057.81s -  [FPS: 9.89487|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:49 infiSTAR.de | 1h 28min 31s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 110m in 0.260742s (from [5467.29,13107.3,337.349] to [5547.16,13031,309.807]). TopSpeed of Steerable_Parachute_F is 300 speed was 1525.05. Player FPS: 30.8285. Alive for 5058.11s -  [FPS: 9.85829|SERVERTHREADS: 36] (v0029)
