28-01-2016 12:22:19 infiSTAR.de | 1h 57min 30s | Herold(76561197991489360) | WALL LOOK CHECK (looked through Exile_Construction_WoodStairs_Static) - @038198 [3843.54,9646.81,-0.4669] [FPS: 9.36768|SERVERTHREADS: 37] (v0029)
28-01-2016 12:23:31 infiSTAR.de | 1h 58min 37s | Herold(76561197991489360) | WALL LOOK CHECK (looked through Exile_Construction_WoodStairs_Static) - @038198 [3843.54,9646.81,-0.4669] [FPS: 10.1911|SERVERTHREADS: 37] (v0029)
28-01-2016 12:35:58 infiSTAR.de | 2h 10min 0s | fredo11(76561198119189272) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @154275 [15491.3,17315.9,-0.15004] [FPS: 9.09091|SERVERTHREADS: 37] (v0029)
28-01-2016 12:50:48 infiSTAR.de | 2h 23min 8s | [GHR]Casey(76561198131706226) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @160149 [16041.1,4696.34,0.278178] [FPS: 8.07265|SERVERTHREADS: 37] (v0029)
28-01-2016 13:15:07 infiSTAR.de | 2h 45min 44s | BlaSter_Jaxxx(76561198076063397) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @154275 [15497.5,17325.5,0.139862] [FPS: 12.9136|SERVERTHREADS: 37] (v0029)
28-01-2016 13:15:20 infiSTAR.de | 2h 45min 56s | BlaSter_Jaxxx(76561198076063397) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @155275 [15519.3,17324.3,-0.627052] [FPS: 14.8148|SERVERTHREADS: 37] (v0029)
28-01-2016 13:15:30 infiSTAR.de | 2h 46min 7s | BlaSter_Jaxxx(76561198076063397) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @155275 [15519.3,17324.3,-0.627052] [FPS: 14.5985|SERVERTHREADS: 37] (v0029)
28-01-2016 13:15:44 infiSTAR.de | 2h 46min 20s | BlaSter_Jaxxx(76561198076063397) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @155275 [15519.3,17324.3,-0.627052] [FPS: 13.1579|SERVERTHREADS: 37] (v0029)
28-01-2016 13:15:54 infiSTAR.de | 2h 46min 30s | BlaSter_Jaxxx(76561198076063397) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @155275 [15519.3,17324.3,-0.627052] [FPS: 14.7059|SERVERTHREADS: 37] (v0029)
28-01-2016 14:48:13 infiSTAR.de | 0h 42min 15s | MrBagel(76561198073393664) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @166137 [16689.2,3516.58,0.000848532] [FPS: 10.0503|SERVERTHREADS: 38] (v0029)
28-01-2016 15:29:37 infiSTAR.de | 1h 16min 37s | Baba Yaga(76561197991630283) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodDoor_Static) - @143127 [14392.4,2559.67,-0.238881] [FPS: 8.5699|SERVERTHREADS: 38] (v0029)
28-01-2016 15:29:48 infiSTAR.de | 1h 16min 45s | Baba Yaga(76561197991630283) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodDoor_Static) - @143127 [14392.4,2559.67,-0.238881] [FPS: 7.86627|SERVERTHREADS: 38] (v0029)
28-01-2016 15:30:11 infiSTAR.de | 1h 17min 4s | Baba Yaga(76561197991630283) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWindow_Static) - @143128 [14384.1,2563.75,0.0052042] [FPS: 7.91296|SERVERTHREADS: 38] (v0029)
28-01-2016 15:31:19 infiSTAR.de | 1h 17min 58s | Baba Yaga(76561197991630283) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWindow_Static) - @143128 [14384.1,2563.75,0.0052042] [FPS: 8.49708|SERVERTHREADS: 38] (v0029)
28-01-2016 15:31:21 infiSTAR.de | 1h 17min 59s | Baba Yaga(76561197991630283) | WALL LOOK CHECK (looked through Exile_Construction_WoodWindow_Static) - @143128 [14384.1,2563.75,0.0052042] [FPS: 8.24317|SERVERTHREADS: 38] (v0029)
28-01-2016 15:32:11 infiSTAR.de | 1h 18min 41s | Baba Yaga(76561197991630283) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @143127 [14352.7,2553.85,-0.117373] [FPS: 8.63931|SERVERTHREADS: 38] (v0029)
28-01-2016 15:35:58 infiSTAR.de | 1h 21min 45s | Baba Yaga(76561197991630283) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodDoor_Static) - @143128 [14379.1,2576.87,0.022368] [FPS: 8.06045|SERVERTHREADS: 38] (v0029)
28-01-2016 15:36:43 infiSTAR.de | 1h 22min 20s | Baba Yaga(76561197991630283) | WALL LOOK CHECK (looked through Exile_Construction_WoodStairs_Static) - @143127 [14353.1,2558.47,-0.0397086] [FPS: 8.06858|SERVERTHREADS: 38] (v0029)
28-01-2016 15:36:52 infiSTAR.de | 1h 22min 27s | Baba Yaga(76561197991630283) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @143127 [14353.4,2542.79,-0.0352077] [FPS: 7.81632|SERVERTHREADS: 38] (v0029)
