19-01-2016 03:56:46 infiSTAR.de | Bayley(76561198037794465) | Teleported Graywood(76561197990912707) from [18763.8,19654.2,0.00145531](187298) to [18763.8,19654.2,0.00145531](187298)  (0m) (v0027A)
19-01-2016 03:56:51 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Yolo Actual [GUER (R Fortune Hunters)](76561198117366071) (v0027A)
19-01-2016 03:56:51 infiSTAR.de | Bayley(76561198037794465) | Teleported Yolo Actual(76561198117366071) from [18760.2,19653,0.00102949](187298) to [18760.2,19653,0.00102949](187298)  (0m) (v0027A)
19-01-2016 03:57:27 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - [UN] Pfc. B. Simmons [GUER (R [UN])](76561198087497864) (v0027A)
19-01-2016 03:57:43 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Geralt [GUER](76561198051843996) (v0027A)
19-01-2016 03:57:49 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Ironwill [GUER](76561198006156123) (v0027A)
19-01-2016 03:58:39 infiSTAR.de | Bayley(76561198037794465) | spawning UH-80 Ghost Hawk (Camo) (B_Heli_Transport_01_camo_F) (v0027A)
19-01-2016 03:59:04 infiSTAR.de | Bayley(76561198037794465) | spawning UH-60L (FFV) (CUP_I_UH60L_FFV_RACS) (v0027A)
19-01-2016 04:00:38 infiSTAR.de | Bayley(76561198037794465) | Deleting B_Heli_Transport_01_camo_F @195294.. (v0027A)
19-01-2016 04:05:04 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:05:05 infiSTAR.de | Bayley(76561198037794465) | HealSelf (v0027A)
19-01-2016 04:07:14 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:15 infiSTAR.de | Bayley(76561198037794465) | HealSelf (v0027A)
19-01-2016 04:07:17 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:17 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:18 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:19 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
