23-01-2016 00:52:57 infiSTAR.de | Double A.(76561198069335401) | Teleported HardCharger(76561198008333668) from [5389.9,5778.4,0.00192559](053160) to [5389.9,5778.4,0.00192559](053160)  (0m) (v0028)
23-01-2016 00:53:16 infiSTAR.de | Double A.(76561198069335401) | Teleport to [1720.16,1204.02,0](GPS: 017114) (v0028)
23-01-2016 00:55:34 infiSTAR.de | Double A.(76561198069335401) | Flag Marker (with radius) - 0 (v0028)
23-01-2016 00:55:35 infiSTAR.de | Double A.(76561198069335401) | infiSTAR Dead ESP - 0 (v0028)
23-01-2016 01:02:40 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - Demen [CIV (R Alpha 1-1)](76561198036004541) (v0028)
23-01-2016 01:04:08 infiSTAR.de | Double A.(76561198069335401) | Teleport to [6212.94,6060.94,0](GPS: 062163) (v0028)
23-01-2016 01:05:05 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - Demen [GUER](76561198036004541) (v0028)
23-01-2016 01:05:06 infiSTAR.de | Double A.(76561198069335401) | Teleported Demen(76561198036004541) from [9903.83,9905.6,0.00164032](099201) to [9903.83,9905.6,0.00164032](099201)  (0m) (v0028)
23-01-2016 01:06:40 infiSTAR.de | Double A.(76561198069335401) | Teleport to [7368.3,6188.08,0](GPS: 073164) (v0028)
23-01-2016 01:07:01 infiSTAR.de | Double A.(76561198069335401) |  (v0028)
23-01-2016 01:07:04 infiSTAR.de | Double A.(76561198069335401) |  (v0028)
23-01-2016 01:07:05 infiSTAR.de | Double A.(76561198069335401) |  (v0028)
23-01-2016 01:07:06 infiSTAR.de | Double A.(76561198069335401) |  (v0028)
23-01-2016 01:07:06 infiSTAR.de | Double A.(76561198069335401) |  (v0028)
23-01-2016 01:07:11 infiSTAR.de | Double A.(76561198069335401) |  (v0028)
23-01-2016 01:07:40 infiSTAR.de | Double A.(76561198069335401) | Spawning 6 Rnd M443 HEDP (CUP_6Rnd_HE_M203) on Double A.! (v0028)
23-01-2016 01:07:41 infiSTAR.de | Double A.(76561198069335401) | Spawning 6 Rnd M443 HEDP (CUP_6Rnd_HE_M203) on Double A.! (v0028)
23-01-2016 01:07:41 infiSTAR.de | Double A.(76561198069335401) | Spawning 6 Rnd M443 HEDP (CUP_6Rnd_HE_M203) on Double A.! (v0028)
23-01-2016 01:07:42 infiSTAR.de | Double A.(76561198069335401) | Spawning 6 Rnd M443 HEDP (CUP_6Rnd_HE_M203) on Double A.! (v0028)
23-01-2016 01:09:11 infiSTAR.de | Double A.(76561198069335401) | Teleport to [5616.59,3973.7,0](GPS: 056142) (v0028)
23-01-2016 01:09:49 infiSTAR.de | Double A.(76561198069335401) | Spawning CZ 75 COMPACT (CUP_hgun_Compact) on Double A.! (v0028)
23-01-2016 01:09:59 infiSTAR.de | Double A.(76561198069335401) |  (v0028)
23-01-2016 01:10:39 infiSTAR.de | Double A.(76561198069335401) |  (v0028)
23-01-2016 01:10:57 infiSTAR.de | Double A.(76561198069335401) | Spawning CZ 75 COMPACT (CUP_hgun_Compact) on the ground infront of Double A.! (v0028)
23-01-2016 01:12:17 infiSTAR.de | Double A.(76561198069335401) | Teleport to [17805.9,2198.3,0](GPS: 178124) (v0028)
23-01-2016 01:12:27 infiSTAR.de | Double A.(76561198069335401) | Teleport to [18517.5,3865.21,0](GPS: 185141) (v0028)
23-01-2016 01:12:39 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0028)
23-01-2016 01:13:02 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0028)
23-01-2016 01:16:26 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0028)
23-01-2016 01:17:41 infiSTAR.de | Double A.(76561198069335401) | Teleport to [16025.7,4669.04,0](GPS: 160149) (v0028)
23-01-2016 01:18:19 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0028)
23-01-2016 01:20:36 infiSTAR.de | Double A.(76561198069335401) | Teleport to [3973.73,4506.95,0](GPS: 039147) (v0028)
23-01-2016 01:20:42 infiSTAR.de | Double A.(76561198069335401) | Flag Marker (with radius) - 1 (v0028)
23-01-2016 01:20:56 infiSTAR.de | Double A.(76561198069335401) | Deleting Exile_Construction_Flag_Static @040147.. (v0028)
23-01-2016 01:21:21 infiSTAR.de | Double A.(76561198069335401) | Teleport to [6227.2,5622.46,0](GPS: 062158) (v0028)
23-01-2016 01:21:28 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - HardCharger [GUER](76561198008333668) (v0028)
23-01-2016 01:21:29 infiSTAR.de | Double A.(76561198069335401) | Teleported HardCharger(76561198008333668) from [3999.19,4512.41,0.00143909](039147) to [3999.19,4512.41,0.00143909](039147)  (0m) (v0028)
23-01-2016 01:21:42 infiSTAR.de | Double A.(76561198069335401) | Teleport to [16014.6,4703.97,0](GPS: 160149) (v0028)
23-01-2016 01:22:43 infiSTAR.de | Double A.(76561198069335401) | Spawning 6 Rnd M443 HEDP (CUP_6Rnd_HE_M203) on the ground infront of Double A.! (v0028)
23-01-2016 01:22:46 infiSTAR.de | Double A.(76561198069335401) | Spawning 6 Rnd M443 HEDP (CUP_6Rnd_HE_M203) on Double A.! (v0028)
23-01-2016 01:23:35 infiSTAR.de | Double A.(76561198069335401) | Spawning Metis AT-13 (CUP_launch_Metis) on Double A.! (v0028)
