25-01-2016 17:21:17 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:41 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:42 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:42 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:42 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:43 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:43 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:43 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:44 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:44 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:44 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:45 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:45 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:45 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:45 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:46 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
