18-01-2016 01:03:01 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [18829.4,18653.8,0](GPS: 188288) (v0027A)
18-01-2016 01:03:28 infiSTAR.de | De Gone(76561198057838365) | Mass Message: 10 mintutes remaining! Tower is currently contested. 100K pop tabs to whoever is at the top of the tower. (v0027A)
18-01-2016 01:04:30 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9077.64,9234.18,0](GPS: 090194) (v0027A)
18-01-2016 01:04:32 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9911.19,9637.25,0](GPS: 099198) (v0027A)
18-01-2016 01:04:48 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9159.82,9298.92,0](GPS: 091195) (v0027A)
18-01-2016 01:07:49 infiSTAR.de | De Gone(76561198057838365) | Mass Message: 5 minutes remaining! (v0027A)
18-01-2016 01:12:39 infiSTAR.de | De Gone(76561198057838365) | Mass Message: Times up! 100K to Brotha Grimms group! (v0027A)
18-01-2016 01:12:49 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
18-01-2016 01:13:47 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on Brotha Grimm(76561198161195934) (v0027A)
18-01-2016 01:13:49 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - Brotha Grimm [GUER (R Infinity)](76561198161195934) (v0027A)
18-01-2016 01:14:54 infiSTAR.de | De Gone(76561198057838365) | Teleport to [9157.45,9301.31,0](GPS: 091195) (v0027A)
18-01-2016 01:17:41 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
18-01-2016 01:23:16 infiSTAR.de | King Heavy(76561197991198861) | Add / Remove Money - OMEGA™ [GUER (R Bravo 4-3)](76561197974809837) (v0027A)
18-01-2016 01:23:21 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16180.5,4594.17,0](GPS: 161148) (v0027A)
18-01-2016 01:23:27 infiSTAR.de | King Heavy(76561197991198861) | Add / Remove Money - (76561197974809837) (v0027A)
18-01-2016 01:24:18 infiSTAR.de | De Gone(76561198057838365) | Teleport to [9143.66,9280.81,0](GPS: 091195) (v0027A)
18-01-2016 01:27:12 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18900.8,18380.2,0](GPS: 189286) (v0027A)
18-01-2016 01:28:14 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [18928.5,18410.6,0](GPS: 189286) (v0027A)
18-01-2016 01:28:54 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18477.5,20185.3,0](GPS: 184304) (v0027A)
18-01-2016 01:29:13 infiSTAR.de | King Heavy(76561197991198861) | Self Disconnect (v0027A)
18-01-2016 01:29:18 infiSTAR.de | De Gone(76561198057838365) | spawning M270 MLRS (HE) (CUP_B_M270_HE_USMC) (v0027A)
18-01-2016 01:30:02 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_B_M270_HE_USMC @184304.. (v0027A)
18-01-2016 01:30:06 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18937.9,18403.8,0](GPS: 189286) (v0027A)
18-01-2016 01:32:44 infiSTAR.de | De Gone(76561198057838365) | Teleport to [12182.7,2228.09,0](GPS: 121124) (v0027A)
18-01-2016 01:34:09 infiSTAR.de | De Gone(76561198057838365) | Teleport to [12281.3,6804.83,0](GPS: 122170) (v0027A)
18-01-2016 01:40:05 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19482.1,19204,0](GPS: 194294) (v0027A)
18-01-2016 01:41:17 infiSTAR.de | De Gone(76561198057838365) | spawning A-10C Thunderbolt II (AT) (CUP_B_A10_AT_USA) (v0027A)
18-01-2016 01:43:47 infiSTAR.de | De Gone(76561198057838365) | Vehicle God Mode - 1 (v0027A)
18-01-2016 01:44:36 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_B_A10_AT_USA @112257.. (v0027A)
18-01-2016 01:44:58 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19711.7,18950.6,0](GPS: 197291) (v0027A)
18-01-2016 01:45:12 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
18-01-2016 01:45:43 infiSTAR.de | De Gone(76561198057838365) | spawning A-10C Thunderbolt II (AT) (CUP_B_A10_AT_USA) (v0027A)
18-01-2016 01:50:13 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19574,19210.6,121.492](GPS: 195294) (v0027A)
18-01-2016 01:51:09 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_B_A10_AT_USA @197296.. (v0027A)
18-01-2016 01:51:27 infiSTAR.de | De Gone(76561198057838365) | spawning Mi-6T Hook (CUP_C_MI6T_RU) (v0027A)
18-01-2016 01:55:04 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19871,19044.2,47.7219](GPS: 198292) (v0027A)
18-01-2016 02:07:26 infiSTAR.de | De Gone(76561198057838365) | Eject - Lorean [GUER](76561198001089920) (v0027A)
18-01-2016 02:08:42 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_C_MI6T_RU @194294.. (v0027A)
18-01-2016 02:09:02 infiSTAR.de | De Gone(76561198057838365) | Vehboost - 1 (v0027A)
18-01-2016 02:09:03 infiSTAR.de | De Gone(76561198057838365) | UnlimAmmo - 1 (v0027A)
18-01-2016 02:10:14 infiSTAR.de | De Gone(76561198057838365) | spawning M6 Linebacker (Desert) (CUP_B_M6LineBacker_USA_D) (v0027A)
18-01-2016 02:10:36 infiSTAR.de | De Gone(76561198057838365) | Deleting Lorean(76561198001089920) vehicle: CUP_B_M6LineBacker_USA_D @195294.. (v0027A)
18-01-2016 02:10:46 infiSTAR.de | De Gone(76561198057838365) | spawning ZSU-23-4 (CUP_O_ZSU23_SLA) (v0027A)
18-01-2016 02:10:56 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_O_ZSU23_SLA @195294.. (v0027A)
18-01-2016 02:11:04 infiSTAR.de | De Gone(76561198057838365) | spawning ZSU-23-4 (CUP_O_ZSU23_SLA) (v0027A)
18-01-2016 02:11:20 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_O_ZSU23_SLA @195294.. (v0027A)
18-01-2016 02:11:33 infiSTAR.de | De Gone(76561198057838365) | spawning M163A1 VADS (CUP_B_M163_USA) (v0027A)
18-01-2016 02:11:54 infiSTAR.de | De Gone(76561198057838365) | Deleting JoshC(76561198017061088) vehicle: CUP_B_M163_USA @195294.. (v0027A)
18-01-2016 02:12:28 infiSTAR.de | De Gone(76561198057838365) | spawning M1A2 Abrams TUSK (Desert) (CUP_B_M1A2_TUSK_MG_DES_USMC) (v0027A)
18-01-2016 02:12:37 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_B_M1A2_TUSK_MG_DES_USMC @195294.. (v0027A)
18-01-2016 02:13:05 infiSTAR.de | De Gone(76561198057838365) | spawning MQ-9 Reaper (CUP_USMC_MQ9) (v0027A)
18-01-2016 02:13:14 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_USMC_MQ9 @195294.. (v0027A)
18-01-2016 02:14:05 infiSTAR.de | De Gone(76561198057838365) | spawning SDV (I_SDV_01_F) (v0027A)
18-01-2016 02:15:35 infiSTAR.de | De Gone(76561198057838365) | Deleting I_SDV_01_F @195294.. (v0027A)
18-01-2016 02:15:52 infiSTAR.de | De Gone(76561198057838365) | spawning MQ-4A Greyhawk (CAS) (B_UAV_02_CAS_F) (v0027A)
18-01-2016 02:16:07 infiSTAR.de | De Gone(76561198057838365) | Deleting B_UAV_02_CAS_F @195294.. (v0027A)
18-01-2016 02:16:33 infiSTAR.de | De Gone(76561198057838365) | spawning M2A2 Bradley IFV (Desert) (CUP_B_M2Bradley_USA_D) (v0027A)
18-01-2016 02:17:28 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19672.9,18632.1,0](GPS: 196288) (v0027A)
18-01-2016 02:17:30 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19561.1,19075.9,0](GPS: 195293) (v0027A)
18-01-2016 02:18:00 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19551.5,19034.8,0](GPS: 195292) (v0027A)
18-01-2016 02:18:10 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19507.7,19060.8,0](GPS: 195293) (v0027A)
18-01-2016 02:18:16 infiSTAR.de | De Gone(76561198057838365) | Deleting Katana(76561197982462238) vehicle: CUP_B_M2Bradley_USA_D @195293.. (v0027A)
18-01-2016 02:20:30 infiSTAR.de | De Gone(76561198057838365) | noRecoil - 1 (v0027A)
18-01-2016 02:20:31 infiSTAR.de | De Gone(76561198057838365) | FastFire - 1 (v0027A)
18-01-2016 02:21:17 infiSTAR.de | De Gone(76561198057838365) | Deleting Exile_Car_Volha_White @196294.. (v0027A)
18-01-2016 02:21:31 infiSTAR.de | De Gone(76561198057838365) | Self Disconnect (v0027A)
18-01-2016 08:44:13 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
18-01-2016 08:44:13 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0027A)
18-01-2016 08:44:16 infiSTAR.de | De Gone(76561198057838365) | infiSTAR MapIcons - 1 (v0027A)
18-01-2016 08:45:52 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @196294.. (v0027A)
18-01-2016 08:49:21 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @196294.. (v0027A)
18-01-2016 08:50:01 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16485.7,14151.6,0](GPS: 164243) (v0027A)
18-01-2016 08:59:57 infiSTAR.de | De Gone(76561198057838365) | Teleport to [4872.49,9412.25,0](GPS: 048196) (v0027A)
18-01-2016 09:00:23 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0027A)
18-01-2016 09:01:24 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 0 (v0027A)
18-01-2016 09:02:40 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
18-01-2016 09:02:44 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
18-01-2016 09:03:22 infiSTAR.de | De Gone(76561198057838365) | Teleport to [6764.49,10557.1,0](GPS: 067207) (v0027A)
18-01-2016 09:03:29 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0027A)
18-01-2016 09:03:29 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
18-01-2016 09:03:30 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
18-01-2016 09:03:31 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
18-01-2016 09:03:41 infiSTAR.de | De Gone(76561198057838365) | Remove Gear - R Bravo 3-1:1 (De Gone)(76561198057838365) (v0027A)
18-01-2016 09:04:08 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @067207.. (v0027A)
18-01-2016 09:04:31 infiSTAR.de | De Gone(76561198057838365) | Spawning M240 (CUP_lmg_M240_ElcanM143) on De Gone! (v0027A)
18-01-2016 09:04:40 infiSTAR.de | De Gone(76561198057838365) | Spawning 100Rnd. M240 (red tracers) (CUP_100Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M) on De Gone! (v0027A)
18-01-2016 09:04:41 infiSTAR.de | De Gone(76561198057838365) | Spawning 100Rnd. M240 (red tracers) (CUP_100Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M) on De Gone! (v0027A)
18-01-2016 09:04:42 infiSTAR.de | De Gone(76561198057838365) | Spawning 100Rnd. M240 (red tracers) (CUP_100Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M) on De Gone! (v0027A)
18-01-2016 09:04:42 infiSTAR.de | De Gone(76561198057838365) | Spawning 100Rnd. M240 (red tracers) (CUP_100Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M) on De Gone! (v0027A)
18-01-2016 09:04:42 infiSTAR.de | De Gone(76561198057838365) | Spawning 100Rnd. M240 (red tracers) (CUP_100Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M) on De Gone! (v0027A)
18-01-2016 09:04:43 infiSTAR.de | De Gone(76561198057838365) | Spawning 100Rnd. M240 (red tracers) (CUP_100Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M) on De Gone! (v0027A)
18-01-2016 09:04:43 infiSTAR.de | De Gone(76561198057838365) | Spawning 100Rnd. M240 (red tracers) (CUP_100Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M) on De Gone! (v0027A)
18-01-2016 09:04:44 infiSTAR.de | De Gone(76561198057838365) | Spawning 100Rnd. M240 (red tracers) (CUP_100Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M) on De Gone! (v0027A)
18-01-2016 09:04:44 infiSTAR.de | De Gone(76561198057838365) | Spawning 100Rnd. M240 (red tracers) (CUP_100Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M) on De Gone! (v0027A)
18-01-2016 09:04:44 infiSTAR.de | De Gone(76561198057838365) | Spawning 100Rnd. M240 (red tracers) (CUP_100Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M) on De Gone! (v0027A)
18-01-2016 09:04:45 infiSTAR.de | De Gone(76561198057838365) | Spawning 100Rnd. M240 (red tracers) (CUP_100Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M) on De Gone! (v0027A)
18-01-2016 09:06:12 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0027A)
18-01-2016 09:06:13 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
18-01-2016 09:17:25 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0027A)
18-01-2016 09:17:26 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
18-01-2016 09:17:27 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
18-01-2016 09:17:45 infiSTAR.de | De Gone(76561198057838365) | Teleport to [1656.88,8288.47,0](GPS: 016185) (v0027A)
18-01-2016 09:17:52 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
18-01-2016 09:17:52 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0027A)
18-01-2016 09:17:58 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
18-01-2016 09:22:41 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @016185.. (v0027A)
18-01-2016 09:23:44 infiSTAR.de | De Gone(76561198057838365) | Spawning M249 (Squantoon Special) (hlc_m249_SQuantoon) on De Gone! (v0027A)
18-01-2016 09:24:04 infiSTAR.de | De Gone(76561198057838365) | Spawning FN Minimi Para (hlc_lmg_minimipara) on De Gone! (v0027A)
18-01-2016 09:24:27 infiSTAR.de | De Gone(76561198057838365) | Spawning FN Minimi (RIS/Solid Stock) (hlc_lmg_minimi_railed) on De Gone! (v0027A)
18-01-2016 09:26:54 infiSTAR.de | De Gone(76561198057838365) | Spawning M249 PIP (RIS/18.3 in.) (hlc_m249_pip1) on De Gone! (v0027A)
18-01-2016 09:27:33 infiSTAR.de | De Gone(76561198057838365) | Spawning Trijicon ACOG (CUP_optic_RCO) on De Gone! (v0027A)
18-01-2016 09:28:09 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @016185.. (v0027A)
18-01-2016 09:28:21 infiSTAR.de | De Gone(76561198057838365) |  (v0027A)
18-01-2016 09:32:38 infiSTAR.de | De Gone(76561198057838365) | Spawning PCML (launch_NLAW_F) on De Gone! (v0027A)
18-01-2016 09:32:38 infiSTAR.de | De Gone(76561198057838365) | Spawning PCML (launch_NLAW_F) on De Gone! (v0027A)
18-01-2016 09:32:38 infiSTAR.de | De Gone(76561198057838365) | Spawning PCML (launch_NLAW_F) on De Gone! (v0027A)
18-01-2016 09:32:41 infiSTAR.de | De Gone(76561198057838365) | Spawning PCML (launch_NLAW_F) on the ground infront of De Gone! (v0027A)
18-01-2016 09:32:41 infiSTAR.de | De Gone(76561198057838365) | Spawning PCML (launch_NLAW_F) on the ground infront of De Gone! (v0027A)
18-01-2016 09:32:41 infiSTAR.de | De Gone(76561198057838365) | Spawning PCML (launch_NLAW_F) on the ground infront of De Gone! (v0027A)
18-01-2016 09:32:42 infiSTAR.de | De Gone(76561198057838365) | Spawning PCML (launch_NLAW_F) on the ground infront of De Gone! (v0027A)
18-01-2016 09:32:42 infiSTAR.de | De Gone(76561198057838365) | Spawning PCML (launch_NLAW_F) on the ground infront of De Gone! (v0027A)
18-01-2016 09:32:42 infiSTAR.de | De Gone(76561198057838365) | Spawning PCML (launch_NLAW_F) on the ground infront of De Gone! (v0027A)
18-01-2016 09:32:46 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @016185.. (v0027A)
18-01-2016 09:33:02 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @016185.. (v0027A)
18-01-2016 09:34:55 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on Dylan(76561198169952905) (v0027A)
18-01-2016 09:34:59 infiSTAR.de | De Gone(76561198057838365) | Exploding Dylan(76561198169952905) @016184 (v0027A)
18-01-2016 09:34:59 infiSTAR.de | De Gone(76561198057838365) | Explode - R Alpha 4-3:1 (Dylan) REMOTE(76561198169952905) (v0027A)
18-01-2016 09:39:31 infiSTAR.de | De Gone(76561198057838365) | spawning T-55 (CUP_O_T55_TK) (v0027A)
18-01-2016 09:40:16 infiSTAR.de | De Gone(76561198057838365) | UnlimAmmo - 1 (v0027A)
