29-01-2016 01:12:37 infiSTAR.de | Double A.(76561198069335401) | AdminConsole (v0029)
29-01-2016 01:23:04 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0029)
29-01-2016 01:23:11 infiSTAR.de | Double A.(76561198069335401) | Teleport to [8961.11,7149.22,0](GPS: 089173) (v0029)
29-01-2016 01:24:58 infiSTAR.de | Double A.(76561198069335401) | Mi Chen Lao added Ammo to Exile_Car_Strider (v0029)
29-01-2016 01:24:59 infiSTAR.de | Double A.(76561198069335401) | Mi Chen Lao added Ammo to Exile_Car_Strider (v0029)
29-01-2016 01:25:04 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
29-01-2016 01:25:06 infiSTAR.de | Double A.(76561198069335401) | Spawning Metis-M 9K115-2 (CUP_AT13_M) on Double A.! (v0029)
29-01-2016 01:25:27 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
29-01-2016 01:25:30 infiSTAR.de | Double A.(76561198069335401) | Spawning Metis-M 9K115-2 (CUP_AT13_M) on Double A.! (v0029)
29-01-2016 01:25:50 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
29-01-2016 01:25:53 infiSTAR.de | Double A.(76561198069335401) | Spawning Metis-M 9K115-2 (CUP_AT13_M) on Double A.! (v0029)
29-01-2016 01:40:06 infiSTAR.de | Dale Jr.(76561198069335401) | Stealth / Invisible - 1 (v0029)
29-01-2016 01:40:07 infiSTAR.de | Dale Jr.(76561198069335401) | God Mode - 1 (v0029)
29-01-2016 01:40:07 infiSTAR.de | Dale Jr.(76561198069335401) | Vehicle God Mode - 1 (v0029)
29-01-2016 01:40:08 infiSTAR.de | Dale Jr.(76561198069335401) | Teleport In Facing Direction (10m steps) - 1 (v0029)
29-01-2016 01:40:09 infiSTAR.de | Dale Jr.(76561198069335401) | UnlimAmmo - 1 (v0029)
29-01-2016 01:40:12 infiSTAR.de | Dale Jr.(76561198069335401) | UnlimAmmo - 0 (v0029)
29-01-2016 01:40:21 infiSTAR.de | Dale Jr.(76561198069335401) | infiSTAR Player ESP - 1 (v0029)
29-01-2016 01:40:22 infiSTAR.de | Dale Jr.(76561198069335401) | infiSTAR MapIcons - 1 (v0029)
29-01-2016 01:40:34 infiSTAR.de | Dale Jr.(76561198069335401) | Teleport to [6756.5,9203.32,0](GPS: 067194) (v0029)
29-01-2016 01:41:36 infiSTAR.de | Dale Jr.(76561198069335401) | spawning BM-21 (CUP_O_BM21_RU) (v0029)
29-01-2016 01:43:52 infiSTAR.de | Dale Jr.(76561198069335401) | Deleting CUP_O_BM21_RU @067194.. (v0029)
29-01-2016 01:44:01 infiSTAR.de | Dale Jr.(76561198069335401) | Teleport to [8990.6,7365.49,0](GPS: 089176) (v0029)
29-01-2016 01:44:42 infiSTAR.de | Dale Jr.(76561198069335401) | Stealth / Invisible - 0 (v0029)
29-01-2016 01:44:43 infiSTAR.de | Dale Jr.(76561198069335401) | God Mode - 0 (v0029)
29-01-2016 01:44:44 infiSTAR.de | Dale Jr.(76561198069335401) | Vehicle God Mode - 0 (v0029)
29-01-2016 01:45:23 infiSTAR.de | Dale Jr.(76561198069335401) |  (v0029)
29-01-2016 01:45:27 infiSTAR.de | Dale Jr.(76561198069335401) | Spawning M9 Mag. (CUP_15Rnd_9x19_M9) on Dale Jr.! (v0029)
29-01-2016 01:45:27 infiSTAR.de | Dale Jr.(76561198069335401) | Spawning M9 Mag. (CUP_15Rnd_9x19_M9) on Dale Jr.! (v0029)
29-01-2016 01:45:27 infiSTAR.de | Dale Jr.(76561198069335401) | Spawning M9 Mag. (CUP_15Rnd_9x19_M9) on Dale Jr.! (v0029)
29-01-2016 01:45:28 infiSTAR.de | Dale Jr.(76561198069335401) | Spawning M9 Mag. (CUP_15Rnd_9x19_M9) on Dale Jr.! (v0029)
29-01-2016 01:45:28 infiSTAR.de | Dale Jr.(76561198069335401) | Spawning M9 Mag. (CUP_15Rnd_9x19_M9) on Dale Jr.! (v0029)
