17-01-2016 12:55:50 infiSTAR.de | De Gone(76561198057838365) | Teleport to [5632.78,16494.9,0](GPS: 056267) (v0027A)
17-01-2016 12:56:03 infiSTAR.de | De Gone(76561198057838365) | Deleting WeaponHolderSimulated @056267.. (v0027A)
17-01-2016 12:56:06 infiSTAR.de | De Gone(76561198057838365) | Deleting Exile_Unit_Player @056267.. (v0027A)
17-01-2016 12:57:52 infiSTAR.de | De Gone(76561198057838365) | Teleport to [15468.7,4286.25,0](GPS: 154145) (v0027A)
17-01-2016 12:59:33 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [19566.6,19223.3,0](GPS: 195294) (v0027A)
17-01-2016 13:00:52 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18270.5,18596,0](GPS: 182288) (v0027A)
17-01-2016 13:02:05 infiSTAR.de | De Gone(76561198057838365) | Teleport to [13537.3,1916.26,0](GPS: 135121) (v0027A)
17-01-2016 13:02:10 infiSTAR.de | De Gone(76561198057838365) | Vehicle God Mode - 0 (v0027A)
17-01-2016 13:02:10 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0027A)
17-01-2016 13:02:11 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
17-01-2016 13:02:22 infiSTAR.de | De Gone(76561198057838365) | spawning MH-9 Hummingbird (Exile_Chopper_Hummingbird_Green) (v0027A)
17-01-2016 13:04:19 infiSTAR.de | King Heavy(76561197991198861) | Eject - Xpmd [GUER](76561198131418146) (v0027A)
17-01-2016 13:05:21 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [1632.39,8264.69,0](GPS: 016185) (v0027A)
17-01-2016 13:06:11 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
17-01-2016 13:06:12 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
17-01-2016 13:06:18 infiSTAR.de | De Gone(76561198057838365) | Teleport to [12702.8,3743.6,0](GPS: 127139) (v0027A)
17-01-2016 13:09:49 infiSTAR.de | King Heavy(76561197991198861) | Deleting CUP_B_UH60M_US @016184.. (v0027A)
17-01-2016 13:10:07 infiSTAR.de | King Heavy(76561197991198861) | spawning UH-60M (CUP_B_UH60M_US) (v0027A)
17-01-2016 13:11:16 infiSTAR.de | De Gone(76561198057838365) | Teleport to [1606.87,8253.4,0](GPS: 016184) (v0027A)
17-01-2016 13:11:52 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0027A)
17-01-2016 13:11:53 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
17-01-2016 13:11:56 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
17-01-2016 13:12:26 infiSTAR.de | De Gone(76561198057838365) | Remove Gear - R Charlie 4-1:1 (De Gone)(76561198057838365) (v0027A)
17-01-2016 13:12:33 infiSTAR.de | De Gone(76561198057838365) | Spawning Combat Fatigues (MTP) (U_B_CombatUniform_mcam) on De Gone! (v0027A)
17-01-2016 13:12:37 infiSTAR.de | De Gone(76561198057838365) | Spawning Recon Fatigues (MTP) (U_B_CombatUniform_mcam_vest) on De Gone! (v0027A)
17-01-2016 13:12:38 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [4085.66,17246.7,0](GPS: 040274) (v0027A)
17-01-2016 13:12:43 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [1624.41,8221.8,0](GPS: 016184) (v0027A)
17-01-2016 13:12:51 infiSTAR.de | De Gone(76561198057838365) | Spawning Carrier GL Rig (MTP) (V_PlateCarrierGL_mtp) on De Gone! (v0027A)
17-01-2016 13:13:12 infiSTAR.de | De Gone(76561198057838365) | Spawning Carrier GL Rig (MTP) (V_PlateCarrierGL_mtp) on De Gone! (v0027A)
17-01-2016 13:13:18 infiSTAR.de | De Gone(76561198057838365) | Spawning XM8 (Exile_Item_XM8) on De Gone! (v0027A)
17-01-2016 13:13:45 infiSTAR.de | De Gone(76561198057838365) | Spawning Smoke Grenade (White) (SmokeShell) on De Gone! (v0027A)
17-01-2016 13:13:46 infiSTAR.de | De Gone(76561198057838365) | Spawning Smoke Grenade (White) (SmokeShell) on De Gone! (v0027A)
17-01-2016 13:13:49 infiSTAR.de | De Gone(76561198057838365) | Spawning Smoke Grenade (Blue) (SmokeShellBlue) on De Gone! (v0027A)
17-01-2016 13:13:51 infiSTAR.de | De Gone(76561198057838365) | Spawning Smoke Grenade (Green) (SmokeShellGreen) on De Gone! (v0027A)
17-01-2016 13:13:57 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on King Heavy(76561197991198861) (v0027A)
17-01-2016 13:14:24 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @016184.. (v0027A)
17-01-2016 13:15:02 infiSTAR.de | De Gone(76561198057838365) | Spawning Recon Fatigues (MTP) (U_B_CombatUniform_mcam_vest) on De Gone! (v0027A)
17-01-2016 13:16:13 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @016184.. (v0027A)
17-01-2016 13:16:47 infiSTAR.de | De Gone(76561198057838365) | Spawning Leupold LR/T (hlc_optic_LRT_m14) on De Gone! (v0027A)
17-01-2016 13:16:55 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @016184.. (v0027A)
17-01-2016 13:17:05 infiSTAR.de | De Gone(76561198057838365) | Spawning Leupold Mark 4 3-9x36mm MR/T (CUP_optic_LeupoldM3LR) on De Gone! (v0027A)
17-01-2016 13:17:35 infiSTAR.de | King Heavy(76561197991198861) | Spawning Leupold Mark 4 3-9x36mm MR/T (CUP_optic_LeupoldM3LR) on the ground infront of King Heavy! (v0027A)
17-01-2016 13:18:15 infiSTAR.de | King Heavy(76561197991198861) | Spawning Schmidt and Bender 3-12x60 PM II (CUP_optic_SB_3_12x50_PMII) on the ground infront of King Heavy! (v0027A)
17-01-2016 13:18:20 infiSTAR.de | De Gone(76561198057838365) | Spawning Schmidt and Bender 3-12x60 PM II (CUP_optic_SB_3_12x50_PMII) on De Gone! (v0027A)
17-01-2016 13:18:44 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @016184.. (v0027A)
17-01-2016 13:19:00 infiSTAR.de | De Gone(76561198057838365) | Spawning Bipod (Black) [NATO] (bipod_01_F_blk) on De Gone! (v0027A)
17-01-2016 13:19:04 infiSTAR.de | King Heavy(76561197991198861) | Deleting GroundWeaponHolder @016184.. (v0027A)
17-01-2016 13:19:58 infiSTAR.de | De Gone(76561198057838365) | Spawning Zip Tie (Exile_Item_ZipTie) on De Gone! (v0027A)
