27-01-2016 20:23:35 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 0 (v0029)
27-01-2016 20:23:37 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0029)
27-01-2016 20:23:38 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0029)
27-01-2016 20:23:39 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0029)
27-01-2016 20:23:43 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
27-01-2016 20:23:44 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0029)
27-01-2016 20:24:06 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
27-01-2016 20:24:07 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
27-01-2016 20:24:11 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10685.5,16466.4,0](GPS: 106267) (v0029)
27-01-2016 20:24:48 infiSTAR.de | De Gone(76561198057838365) | Deleting WeaponHolderSimulated @106267.. (v0029)
27-01-2016 20:24:49 infiSTAR.de | De Gone(76561198057838365) | Deleting Exile_Unit_Player @106267.. (v0029)
27-01-2016 20:24:55 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0029)
27-01-2016 20:24:56 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0029)
27-01-2016 20:27:42 infiSTAR.de | De Gone(76561198057838365) | infiSTAR MapIcons - 1 (v0029)
27-01-2016 20:27:43 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0029)
27-01-2016 20:30:06 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 0 (v0029)
27-01-2016 20:34:20 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0029)
27-01-2016 20:34:21 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
27-01-2016 20:34:22 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
27-01-2016 20:34:28 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10553.4,16479.7,0](GPS: 105267) (v0029)
27-01-2016 20:34:45 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10541.7,16469.4,0](GPS: 105267) (v0029)
27-01-2016 20:35:06 infiSTAR.de | De Gone(76561198057838365) | Deleting Exile_Unit_Player @105267.. (v0029)
27-01-2016 20:35:10 infiSTAR.de | De Gone(76561198057838365) | Deleting WeaponHolderSimulated @105267.. (v0029)
27-01-2016 20:35:31 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0029)
27-01-2016 20:35:32 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0029)
27-01-2016 20:44:24 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
27-01-2016 20:45:32 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
27-01-2016 20:45:33 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10662.7,16718.2,0](GPS: 106269) (v0029)
27-01-2016 20:49:23 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18243.2,19274.5,0](GPS: 182295) (v0029)
27-01-2016 20:49:39 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19734.7,18952,0](GPS: 197291) (v0029)
27-01-2016 20:49:45 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19576.6,18951.6,0](GPS: 195291) (v0029)
27-01-2016 20:50:05 infiSTAR.de | De Gone(76561198057838365) | spawning AV-8B (Empty) (CUP_B_AV8B_Empty) (v0029)
27-01-2016 20:50:12 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0029)
27-01-2016 20:50:13 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0029)
27-01-2016 20:50:14 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
27-01-2016 20:50:14 infiSTAR.de | De Gone(76561198057838365) | Vehicle God Mode - 1 (v0029)
