28-01-2016 19:09:57 infiSTAR.de | 7=Temp(76561198133523234) | infiSTAR Player ESP - 1 (v0029)
28-01-2016 19:09:58 infiSTAR.de | 7=Temp(76561198133523234) | infiSTAR MapIcons - 1 (v0029)
28-01-2016 19:10:00 infiSTAR.de | 7=Temp(76561198133523234) | God Mode - 1 (v0029)
28-01-2016 19:10:02 infiSTAR.de | 7=Temp(76561198133523234) | UnlimAmmo - 1 (v0029)
28-01-2016 19:10:03 infiSTAR.de | 7=Temp(76561198133523234) | Lower Terrain - 1 (v0029)
28-01-2016 19:10:05 infiSTAR.de | 7=Temp(76561198133523234) | Teleport In Facing Direction (10m steps) - 1 (v0029)
28-01-2016 19:10:23 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [4602.14,10495.9,0](GPS: 046207) (v0029)
28-01-2016 19:12:13 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [1642.88,8264.92,0](GPS: 016185) (v0029)
28-01-2016 19:12:49 infiSTAR.de | 7=Temp(76561198133523234) | Teleport - Me To Target - Gabby  [GUER (R Fortune Hunters)](76561198169466941) (v0029)
28-01-2016 19:15:07 infiSTAR.de | 7=Temp(76561198133523234) | Spawning AN/PVS-10 NVS (CUP_optic_AN_PVS_10) on 7=Temp! (v0029)
28-01-2016 19:21:05 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 1 (v0029)
28-01-2016 19:23:33 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 0 (v0029)
28-01-2016 19:27:08 infiSTAR.de | 7=Temp(76561198133523234) | Teleport - Target To Me - Gabby  [GUER (R Fortune Hunters)](76561198169466941) (v0029)
28-01-2016 19:27:08 infiSTAR.de | 7=Temp(76561198133523234) | Teleported Gabby (76561198169466941) from [14819.8,7429.52,0.00132751](148176) to [14819.8,7429.52,0.00132751](148176)  (0m) (v0029)
28-01-2016 19:27:22 infiSTAR.de | 7=Temp(76561198133523234) | Teleport - Target To Me - Gabby  [GUER (R Fortune Hunters)](76561198169466941) (v0029)
28-01-2016 19:27:22 infiSTAR.de | 7=Temp(76561198133523234) | Teleported Gabby (76561198169466941) from [14779,7485.79,0.00138855](147177) to [14779,7485.79,0.00138855](147177)  (0m) (v0029)
28-01-2016 19:29:52 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [17812.2,2089.36,0](GPS: 178123) (v0029)
28-01-2016 19:31:42 infiSTAR.de | 7=Temp(76561198133523234) | Move In My Vehicle - Nate [GUER (R Fortune Hunters)](76561198018909881) (v0029)
28-01-2016 19:32:10 infiSTAR.de | 7=Temp(76561198133523234) | Deleting Nate(76561198018909881) vehicle: CUP_B_UH60M_Unarmed_US @177124.. (v0029)
28-01-2016 19:32:59 infiSTAR.de | 7=Temp(76561198133523234) | SPECTATE - switchedCamera on Nate(76561198018909881) (v0029)
28-01-2016 19:33:56 infiSTAR.de | 7=Temp(76561198133523234) | SPECTATE - switchedCamera on Nate(76561198018909881) (v0029)
28-01-2016 19:34:06 infiSTAR.de | 7=Temp(76561198133523234) | Teleport - Target To Me - Nate [GUER (R Fortune Hunters)](76561198018909881) (v0029)
28-01-2016 19:34:07 infiSTAR.de | 7=Temp(76561198133523234) | Teleported Nate(76561198018909881) from [15529.1,5557.68,0.00120544](155157) to [15529.1,5557.68,0.00120544](155157)  (0m) (v0029)
28-01-2016 19:34:09 infiSTAR.de | 7=Temp(76561198133523234) | Teleport - Target To Me - Nate [GUER (R Fortune Hunters)](76561198018909881) (v0029)
28-01-2016 19:34:10 infiSTAR.de | 7=Temp(76561198133523234) | Teleported Nate(76561198018909881) from [15536.8,5555.51,0.00158691](155157) to [15536.8,5555.51,0.00158691](155157)  (0m) (v0029)
28-01-2016 19:35:15 infiSTAR.de | 7=Temp(76561198133523234) | Deleting GroundWeaponHolder @177124.. (v0029)
28-01-2016 19:35:55 infiSTAR.de | 7=Temp(76561198133523234) | Add / Remove Money - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0029)
28-01-2016 19:36:34 infiSTAR.de | 7=Temp(76561198133523234) | Delete Vehicle - R Fortune Hunters:2 (Katana) REMOTE(76561197982462238) (v0029)
28-01-2016 19:37:54 infiSTAR.de | 7=Temp(76561198133523234) | Deleting GroundWeaponHolder @178124.. (v0029)
28-01-2016 19:47:47 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 1 (v0029)
28-01-2016 19:49:46 infiSTAR.de | 7=Temp(76561198133523234) | Teleported WTF_Gezzus(76561197991852021) from [12985.4,9179.07,-0.13641](129194) to [12985.4,9179.07,-0.13641](129194)  (0m) (v0029)
28-01-2016 19:49:47 infiSTAR.de | 7=Temp(76561198133523234) | Teleported WTF_Gezzus(76561197991852021) from [12986.8,9179.1,-0.13062](129194) to [12986.8,9179.1,-0.13062](129194)  (0m) (v0029)
28-01-2016 19:49:47 infiSTAR.de | 7=Temp(76561198133523234) | Teleported WTF_Gezzus(76561197991852021) from [12986.8,9179.1,-0.131975](129194) to [12986.8,9179.1,-0.131975](129194)  (0m) (v0029)
28-01-2016 19:49:47 infiSTAR.de | 7=Temp(76561198133523234) | Teleported WTF_Gezzus(76561197991852021) from [12980.3,9178.89,-0.236224](129194) to [12980.3,9178.89,-0.236224](129194)  (0m) (v0029)
28-01-2016 19:51:13 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [12633.2,8879.07,0](GPS: 126191) (v0029)
28-01-2016 19:52:20 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0029)
28-01-2016 19:52:21 infiSTAR.de | De Gone(76561198057838365) | infiSTAR MapIcons - 1 (v0029)
28-01-2016 19:52:22 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
28-01-2016 19:52:23 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
28-01-2016 19:52:40 infiSTAR.de | De Gone(76561198057838365) | Teleport to [12681.3,8840.79,0](GPS: 126190) (v0029)
28-01-2016 19:53:32 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [17809.2,2136.98,0](GPS: 178123) (v0029)
28-01-2016 19:54:36 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16403,4594.53,0](GPS: 164148) (v0029)
28-01-2016 19:54:44 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16448.3,4747.22,0](GPS: 164149) (v0029)
28-01-2016 19:54:49 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16949.7,5105.88,0](GPS: 169153) (v0029)
28-01-2016 19:55:16 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16731.6,5381.4,0](GPS: 167156) (v0029)
28-01-2016 19:55:40 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16369,5163.77,0](GPS: 163154) (v0029)
28-01-2016 19:55:48 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16417.8,4997.39,0](GPS: 164152) (v0029)
28-01-2016 19:56:00 infiSTAR.de | De Gone(76561198057838365) | Teleport In Facing Direction (10m steps) - 1 (v0029)
28-01-2016 19:56:47 infiSTAR.de | De Gone(76561198057838365) | Teleport to [15749.7,5481.97,0](GPS: 157157) (v0029)
28-01-2016 19:57:07 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10971.6,6383.73,0](GPS: 109166) (v0029)
28-01-2016 19:58:18 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16563.6,19532.3,0](GPS: 165297) (v0029)
28-01-2016 20:10:59 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0029)
28-01-2016 20:11:00 infiSTAR.de | De Gone(76561198057838365) | infiSTAR MapIcons - 1 (v0029)
28-01-2016 20:11:02 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
28-01-2016 20:11:02 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
28-01-2016 20:11:13 infiSTAR.de | De Gone(76561198057838365) | Teleport to [11609.9,10284.2,0](GPS: 116205) (v0029)
28-01-2016 20:11:35 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 0 (v0029)
28-01-2016 20:11:36 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0029)
28-01-2016 20:11:37 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0029)
28-01-2016 20:13:53 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
28-01-2016 20:13:57 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
28-01-2016 20:13:58 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0029)
28-01-2016 20:14:01 infiSTAR.de | De Gone(76561198057838365) | Teleport to [11679.4,9776,0](GPS: 116200) (v0029)
28-01-2016 20:14:43 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18440,3144.97,0](GPS: 184133) (v0029)
28-01-2016 20:14:58 infiSTAR.de | De Gone(76561198057838365) | spawning Hatchback (Sport) (Exile_Car_Hatchback_Sport_Beige) (v0029)
