22-01-2016 21:46:53 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - (76561198077565044) (v0027A)
22-01-2016 21:46:58 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on TheGreenBastard(76561198239583742) (v0027A)
22-01-2016 21:47:01 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - TheGreenBastard [GUER (R SRF_Rifleman_F)](76561198239583742) (v0027A)
22-01-2016 21:48:14 infiSTAR.de | 7=Temp(76561198133523234) | Spawning M32 (CUP_glaunch_M32) on 7=Temp! (v0027A)
22-01-2016 21:48:48 infiSTAR.de | 7=Temp(76561198133523234) | Spawning 6 Rnd M662 Flare Red (CUP_6Rnd_FlareRed_M203) on 7=Temp! (v0027A)
22-01-2016 21:48:49 infiSTAR.de | 7=Temp(76561198133523234) | Spawning 6 Rnd M662 Flare Red (CUP_6Rnd_FlareRed_M203) on 7=Temp! (v0027A)
22-01-2016 21:49:41 infiSTAR.de | Falcon911(76561197974470549) | Mass Message: Bonus: 10K poptabs for every 10 min your group/you hold the hill too....  (v0027A)
22-01-2016 21:52:40 infiSTAR.de | 7=Temp(76561198133523234) | Deleting GroundWeaponHolder @101172.. (v0027A)
22-01-2016 21:54:26 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - (76561198239583742) (v0027A)
22-01-2016 21:54:33 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on Pryies(76561198077565044) (v0027A)
22-01-2016 21:54:36 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - Pryies [GUER (R SRF_Rifleman_F)](76561198077565044) (v0027A)
22-01-2016 21:57:08 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [10769.5,5649.13,0](GPS: 107158) (v0027A)
22-01-2016 21:57:33 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [10537.6,6907.62,0](GPS: 105171) (v0027A)
22-01-2016 21:58:36 infiSTAR.de | Falcon911(76561197974470549) | Mass Message: quit spamming voice on side please..  (v0027A)
22-01-2016 21:58:53 infiSTAR.de | De Gone(76561198057838365) | Mass Message: 250k to whoever is at the highest point of the tower at the hill at the server restart 30 minute mark! Go get that tower! (v0027A)
22-01-2016 21:59:16 infiSTAR.de | De Gone(76561198057838365) | Mass Message: 20 K to whoever is at the highest point every 10 minutes! (v0027A)
22-01-2016 21:59:34 infiSTAR.de | De Gone(76561198057838365) | Mass Message: I didnt say the tower had to be standing all the way... (v0027A)
22-01-2016 22:00:18 infiSTAR.de | De Gone(76561198057838365) | Mass Message: Using BM-21s on the admin missions is punishable by PERMA ban (v0027A)
22-01-2016 22:00:44 infiSTAR.de | 7=Temp(76561198133523234) | Kick (Silent) - R Migrane's Party:2 (Jolley) REMOTE(76561198036426850) (v0027A)
22-01-2016 22:00:57 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [19539.7,19170.3,0](GPS: 195294) (v0027A)
22-01-2016 22:02:30 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [10574,6884.2,0](GPS: 105171) (v0027A)
22-01-2016 22:05:31 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on Pryies(76561198077565044) (v0027A)
22-01-2016 22:05:35 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - Pryies [GUER (R SRF_Rifleman_F)](76561198077565044) (v0027A)
22-01-2016 22:05:41 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on TheGreenBastard(76561198239583742) (v0027A)
22-01-2016 22:05:44 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - TheGreenBastard [GUER (R SRF_Rifleman_F)](76561198239583742) (v0027A)
22-01-2016 22:06:30 infiSTAR.de | 7=Temp(76561198133523234) | spawning MH-9 Hummingbird (B_Heli_Light_01_F) (v0027A)
