17-01-2016 14:30:52 infiSTAR.de | 0h 9min 21s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.25s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640082]). TopSpeed of Exile_Unit_Player is 24 speed was 130975. Player FPS: 84.2105. Alive for 285.914s -  [FPS: 17.26|SERVERTHREADS: 36] (v0027A)
17-01-2016 14:30:53 infiSTAR.de | 0h 9min 21s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.256989s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640248]). TopSpeed of Exile_Unit_Player is 24 speed was 127413. Player FPS: 81.6327. Alive for 286.172s -  [FPS: 17.0758|SERVERTHREADS: 36] (v0027A)
17-01-2016 14:30:53 infiSTAR.de | 0h 9min 21s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.252014s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.639991]). TopSpeed of Exile_Unit_Player is 24 speed was 129928. Player FPS: 83.7696. Alive for 286.424s -  [FPS: 16.8421|SERVERTHREADS: 36] (v0027A)
17-01-2016 14:30:53 infiSTAR.de | 0h 9min 21s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.252014s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 129928. Player FPS: 84.6561. Alive for 286.677s -  [FPS: 16.9492|SERVERTHREADS: 36] (v0027A)
17-01-2016 14:30:53 infiSTAR.de | 0h 9min 22s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.250977s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 130465. Player FPS: 82.9016. Alive for 286.929s -  [FPS: 17.3913|SERVERTHREADS: 36] (v0027A)
17-01-2016 14:30:53 infiSTAR.de | 0h 9min 22s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.253021s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 129411. Player FPS: 83.3333. Alive for 287.182s -  [FPS: 17.1674|SERVERTHREADS: 36] (v0027A)
17-01-2016 14:30:54 infiSTAR.de | 0h 9min 22s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.250977s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 130465. Player FPS: 83.7696. Alive for 287.433s -  [FPS: 17.4672|SERVERTHREADS: 36] (v0027A)
17-01-2016 14:30:54 infiSTAR.de | 0h 9min 22s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.254028s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 128898. Player FPS: 82.9016. Alive for 287.687s -  [FPS: 17.4863|SERVERTHREADS: 36] (v0027A)
17-01-2016 14:30:54 infiSTAR.de | 0h 9min 23s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.251984s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 129944. Player FPS: 83.3333. Alive for 287.939s -  [FPS: 17.4292|SERVERTHREADS: 36] (v0027A)
17-01-2016 14:30:55 infiSTAR.de | 0h 9min 23s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.253998s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 128914. Player FPS: 82.4742. Alive for 288.193s -  [FPS: 17.5439|SERVERTHREADS: 36] (v0027A)
17-01-2016 14:30:55 infiSTAR.de | 0h 9min 23s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.252991s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 129427. Player FPS: 83.3333. Alive for 288.446s -  [FPS: 17.0394|SERVERTHREADS: 36] (v0027A)
17-01-2016 14:30:55 infiSTAR.de | 0h 9min 23s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.25s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 130975. Player FPS: 83.7696. Alive for 288.696s -  [FPS: 17.26|SERVERTHREADS: 36] (v0027A)
17-01-2016 14:30:55 infiSTAR.de | 0h 9min 24s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.253021s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 129411. Player FPS: 83.3333. Alive for 288.949s -  [FPS: 17.2228|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:56 infiSTAR.de | 0h 9min 24s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.252991s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 129427. Player FPS: 83.3333. Alive for 289.202s -  [FPS: 17.6991|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:56 infiSTAR.de | 0h 9min 24s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.252014s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 129928. Player FPS: 84.2105. Alive for 289.454s -  [FPS: 17.7384|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:56 infiSTAR.de | 0h 9min 24s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.251984s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 129944. Player FPS: 83.3333. Alive for 289.706s -  [FPS: 17.3348|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:56 infiSTAR.de | 0h 9min 25s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.261017s (from [9644.96,1324.37,4.02582] to [587.408,494.561,0.640133]). TopSpeed of Exile_Unit_Player is 24 speed was 125447. Player FPS: 84.6561. Alive for 289.967s -  [FPS: 17.3913|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:57 infiSTAR.de | 0h 9min 25s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.254974s (from [9644.96,1324.37,4.02582] to [587.441,494.579,0.675784]). TopSpeed of Exile_Unit_Player is 24 speed was 128419. Player FPS: 82.4742. Alive for 290.222s -  [FPS: 17.0394|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:57 infiSTAR.de | 0h 9min 25s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.252014s (from [9644.96,1324.37,4.02582] to [587.582,494.654,0.826962]). TopSpeed of Exile_Unit_Player is 24 speed was 129926. Player FPS: 83.7696. Alive for 290.474s -  [FPS: 17.1674|SERVERTHREADS: 35] (v0027A)
17-01-2016 14:30:57 infiSTAR.de | 0h 9min 25s | Solanthus(76561197970723138) | POTENTIAL-TP-REVERTED#1: Moved 9095m in 0.253998s (from [9644.96,1324.37,4.02582] to [587.472,494.599,0.709178]). TopSpeed of Exile_Unit_Player is 24 speed was 128913. Player FPS: 83.3333. Alive for 290.728s -  [FPS: 16.7891|SERVERTHREADS: 35] (v0027A)
