11-01-2016 12:18:49 infiSTAR.de | King Heavy(76561197991198861) | Freeze Target - R Bravo 1-2:1 (Ford) REMOTE(76561198068372718) (v0027A)
11-01-2016 12:19:09 infiSTAR.de | Optima(76561198052079567) | spawning Rubber Duck (CSAT) (Exile_Boat_RubberDuck_CSAT) (v0027A)
11-01-2016 12:19:14 infiSTAR.de | King Heavy(76561197991198861) | UnRestrain - R Bravo 1-2:1 (Ford) REMOTE(76561198068372718) (v0027A)
11-01-2016 12:19:15 infiSTAR.de | King Heavy(76561197991198861) | UnFreeze Target - R Bravo 1-2:1 (Ford) REMOTE(76561198068372718) (v0027A)
11-01-2016 12:19:28 infiSTAR.de | Optima(76561198052079567) | spawning Rubber Duck (CSAT) (Exile_Boat_RubberDuck_CSAT) (v0027A)
11-01-2016 12:19:59 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [2070.12,1066.99,0](GPS: 020113) (v0027A)
11-01-2016 12:20:11 infiSTAR.de | Optima(76561198052079567) | spawning Rubber Duck (CSAT) (Exile_Boat_RubberDuck_CSAT) (v0027A)
11-01-2016 12:20:36 infiSTAR.de | Ford(76561198068372718) | HealSelf (v0027A)
11-01-2016 12:20:36 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0027A)
11-01-2016 12:21:25 infiSTAR.de | King Heavy(76561197991198861) | Vehicle God Mode - 1 (v0027A)
11-01-2016 12:21:31 infiSTAR.de | King Heavy(76561197991198861) | spawning T-72 (CUP_B_T72_CDF) (v0027A)
11-01-2016 12:21:34 infiSTAR.de | Optima(76561198052079567) | UnlimAmmo - 1 (v0027A)
11-01-2016 12:21:35 infiSTAR.de | Optima(76561198052079567) | noRecoil - 1 (v0027A)
11-01-2016 12:21:36 infiSTAR.de | Optima(76561198052079567) | FastFire - 1 (v0027A)
11-01-2016 12:21:43 infiSTAR.de | King Heavy(76561197991198861) | UnlimAmmo - 1 (v0027A)
11-01-2016 12:21:44 infiSTAR.de | King Heavy(76561197991198861) | FastFire - 1 (v0027A)
11-01-2016 12:22:09 infiSTAR.de | King Heavy(76561197991198861) | Deleting CUP_B_T72_CDF @020112.. (v0027A)
11-01-2016 12:26:02 infiSTAR.de | Optima(76561198052079567) | Teleport to [13605,-1351.09,0](GPS: 136088) (v0027A)
11-01-2016 12:26:07 infiSTAR.de | Optima(76561198052079567) | Teleport to [12671,3220.74,0](GPS: 126134) (v0027A)
11-01-2016 12:26:17 infiSTAR.de | King Heavy(76561197991198861) | Spawning L7A2 GPMG (CUP_lmg_L7A2) on the ground infront of King Heavy! (v0027A)
11-01-2016 12:26:34 infiSTAR.de | Optima(76561198052079567) | Teleport to [17974.6,2364.59,0](GPS: 179126) (v0027A)
11-01-2016 12:26:38 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 0 (v0027A)
11-01-2016 12:28:49 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [16472,18762.3,0](GPS: 164290) (v0027A)
11-01-2016 12:28:49 infiSTAR.de | Optima(76561198052079567) | SPECTATE - switchedCamera on Lucid_Games(76561198037571332) (v0027A)
11-01-2016 12:29:06 infiSTAR.de | Optima(76561198052079567) | Teleport to [16492.3,19581.7,0](GPS: 164298) (v0027A)
11-01-2016 12:29:21 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [16669.4,18966.5,0](GPS: 166292) (v0027A)
11-01-2016 12:29:37 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [16517,18775.4,0](GPS: 165290) (v0027A)
11-01-2016 12:30:05 infiSTAR.de | Optima(76561198052079567) | Deleting Box_IND_AmmoVeh_F @164290.. (v0027A)
11-01-2016 12:30:30 infiSTAR.de | Optima(76561198052079567) | Deleting Exile_Construction_WoodWall_Static @164289.. (v0027A)
11-01-2016 12:30:31 infiSTAR.de | Optima(76561198052079567) | Deleting Exile_Construction_WoodWall_Static @164289.. (v0027A)
11-01-2016 12:30:31 infiSTAR.de | Optima(76561198052079567) | Deleting Exile_Construction_WoodWall_Static @164289.. (v0027A)
11-01-2016 12:31:12 infiSTAR.de | Optima(76561198052079567) | Deleting GroundWeaponHolder @164289.. (v0027A)
11-01-2016 12:35:27 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 1 (v0027A)
11-01-2016 12:35:30 infiSTAR.de | Optima(76561198052079567) | Teleport to [2689.45,4525.78,0](GPS: 026147) (v0027A)
11-01-2016 12:35:43 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [2745.07,4498.16,0](GPS: 027147) (v0027A)
11-01-2016 12:36:37 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9138.8,13619.1,0](GPS: 091238) (v0027A)
11-01-2016 12:36:44 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR AI ESP - 1 (v0027A)
11-01-2016 12:36:51 infiSTAR.de | Optima(76561198052079567) | Teleport to [4726.51,20411.4,0](GPS: 047306) (v0027A)
11-01-2016 12:38:35 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9128.24,13666.4,0](GPS: 091239) (v0027A)
11-01-2016 12:39:04 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [7247.54,11061.2,0](GPS: 072213) (v0027A)
11-01-2016 12:39:14 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [4716.14,10700.1,0](GPS: 047209) (v0027A)
11-01-2016 12:40:22 infiSTAR.de | King Heavy(76561197991198861) | UnlimAmmo - 0 (v0027A)
11-01-2016 12:40:23 infiSTAR.de | King Heavy(76561197991198861) | FastFire - 0 (v0027A)
11-01-2016 12:41:39 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [1634.31,8273.54,0](GPS: 016185) (v0027A)
11-01-2016 12:41:47 infiSTAR.de | King Heavy(76561197991198861) | Vehicle God Mode - 0 (v0027A)
11-01-2016 12:41:50 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR AI ESP - 0 (v0027A)
11-01-2016 12:42:39 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [3147.15,8092.27,0](GPS: 031183) (v0027A)
11-01-2016 12:44:42 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 0 (v0027A)
11-01-2016 12:44:52 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 0 (v0027A)
11-01-2016 12:45:49 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 1 (v0027A)
11-01-2016 12:49:37 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
11-01-2016 12:49:59 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [16134.6,19637.1,0](GPS: 161298) (v0027A)
11-01-2016 12:51:15 infiSTAR.de | King Heavy(76561197991198861) | Vehicle God Mode - 1 (v0027A)
11-01-2016 12:51:32 infiSTAR.de | King Heavy(76561197991198861) | Restore - R Delta 3-1:1 (King Heavy)(76561197991198861) (v0027A)
11-01-2016 12:55:59 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [20363.9,12105.1,0](GPS: 203223) (v0027A)
11-01-2016 13:01:34 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [21399.9,11312.8,0](GPS: 213215) (v0027A)
11-01-2016 13:01:58 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [20329.2,11522.5,0](GPS: 203217) (v0027A)
11-01-2016 13:02:04 infiSTAR.de | King Heavy(76561197991198861) | Self Disconnect (v0027A)
11-01-2016 13:20:07 infiSTAR.de | Ford(76561198068372718) | SPECTATE - switchedCamera on AustinHale(76561198044124790) (v0027A)
11-01-2016 13:20:14 infiSTAR.de | Ford(76561198068372718) | Teleport to [8612.83,9976.12,0](GPS: 086202) (v0027A)
11-01-2016 13:20:27 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 0 (v0027A)
11-01-2016 13:28:29 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 1 (v0027A)
11-01-2016 13:35:52 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 0 (v0027A)
11-01-2016 13:36:53 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 1 (v0027A)
11-01-2016 13:38:47 infiSTAR.de | Ford(76561198068372718) | Teleport to [13974.6,6543.22,0](GPS: 139167) (v0027A)
11-01-2016 13:38:52 infiSTAR.de | Ford(76561198068372718) | infiSTAR AI ESP - 1 (v0027A)
11-01-2016 13:39:42 infiSTAR.de | Ford(76561198068372718) | Teleport to [13910,6468.66,0](GPS: 139167) (v0027A)
11-01-2016 13:40:08 infiSTAR.de | Ford(76561198068372718) | Teleport to [17945.9,5942.47,0](GPS: 179161) (v0027A)
11-01-2016 13:42:11 infiSTAR.de | Ford(76561198068372718) | Teleport to [9199.86,9393.88,0](GPS: 091196) (v0027A)
11-01-2016 13:43:42 infiSTAR.de | Ford(76561198068372718) | Teleport to [8256.89,9791.61,0](GPS: 082200) (v0027A)
